# Page 118 Column 1	
jakl	jackal
jakobn	Jacobean
jaga_r	jaguar
janete~	janitor
jan	January
japn	japan
jargn	jargon
jasmn	jasmine
jondes	jaundice
jonte|	jauntily
jelus	jealous
jova	Jehovah
jjn	jejune
jelefesh	jellyfish
jepa~de	jeopardy
jepa~diz	jeopardize
jerk	jerk
jerke|	jerkily
jese	jersey
jess	Jesus
jesut	Jesuit
jetsm	jetsam
jetesn	jettison
jul	jewel
	
# Page 118 Column 2	
julre	jewelry
jush	Jewish
jengl	jingle
jengo	jingo
jengo-sm	jingoism
jenrekesha	jinrikisha
jenkx	jinx
jet-ne	jitney
joke	jockey
jokos	jocose
jok^s	jocosity
joklr	jocular
jokl^r	jocularity
joknd	jocund
jokndete	jocundity
joen	join
ajoen	adjoin
dsjoen	disjoin
njoen	enjoin
joentd	jointed
joentr	jointure
joest	joist
jokr	joker
jole	jolly
jol^f	jollification
	
# Page 118 Column 3	
j^l	jollity
jon-ke_l	jonquil
josl	jostle
jot	jot
jns	jounce
je~n	journal
je~n-sm	journalism
jen^st	journalist
je~niz	journalize
je~ne	journey
jova&'l	jovial
jov^l	joviality
jaul	jowl
joe	joy
njoe	enjoy
joef	joyful
joel	joyless
joes)	joyous
jubla	jubilate
jublans	jubilance
jublant	jubilant
jublash	jubilation
juble	jubilee
jj	judge
ajj	adjudge
	
# Page 119 Column 1	
jjd	judged
jj^sh	judgeship
jjm	judgment
jdesh	judicial
jdekv	judicative
jdek^re	judicatory
jdekatr	judicature
jdesha|	judicially
jdeshre	judiciary
jdeshus	judicious
jugl	juggle
juglr	jugular
jmb	jumble
jmp	jump
	
# Page 119 Column 2	
jnk	junction
jnktr	juncture
jngl	jungle
jnr	junior
junepr	juniper
jnk	junk
jures	jurist
jured^k	juridical
jures	jurisdiction
juresp	jurisprudence
ju^r	juror
ju	jury
juman	juryman
jus	just
	
# Page 119 Column 3	
njus-s	injustice
jus-s	justice
justesha&'~	justiciar
jusfb	justifiable
jus^f	justification
jusf^re	justificatory
jusf	justify
juse	justly
jusnes	justness
njus	unjust
njusfb	unjustifiable
juvnl	juvenile
juvn^l	juvenility
justposh	juxtaposition
