# Page 197 Column 1	
sabth	Sabbath
sab^a|	sabbatical
sabl	sable
sakren	saccharin
sse~dotl	sacerdotal
sachm	sachem
sasha	sachet
sakram	sacrament
sakr^m	sacramental
sakred	sacred
sakref	sacrifice
sakrefesh	sacrificial
sakrelej	sacrilege
sakrelejus	sacrilegious
sakreste	sacristy
sakrestn	sacristan
sakrsank	sacrosanct
sad	sad
sadn	sadden
sad-nes	sadness
saf	safe
safkduk	safe-conduct
safga~d	safeguard
safkp'	safe-keeping
	
# Page 197 Column 2	
safe	safely
safnes	safeness
safte	safety
n-saf	unsafe
safrn	saffron
sag^s	sagacity
sagash	sagacious
sab	sahib
sant	saint
santd	sainted
santenes	saintliness
sante	saintly
salad	salad
salamn	salamander
salre	salary
salred	salaried
sal	sale
rsal	resale
sal^b	salability
salb	salable
sasman	salesman
'olsa	wholesale
salent	salient
salens	salience
salin	saline
	
# Page 197 Column 3	
saliva	saliva
salvat	salivate
salvash	salivation
samn	salmon
salon	salon
salun	saloon
solt	salt
soltselr	saltcellar
soltd	salted
soltpte~	saltpeter
solte	salty
salub	salubrious
salut	salute
salutre	salutary
salutsh	salutation
salutatra&'n	salutatorian
salutatre	salutatory
salvj	salvage
salvash	salvation
sav	salve
sam	same
sam-nes	sameness
samovar	samovar
samp	sample
esamp	example
	
# Page 198 Column 1	
esemp^r	exemplar
samp^r	sampler
sanatore	sanatory
sanatrm	sanatorium
sankdf	sanctify
sankt^f	sanctification
sanktmonus	sanctimonious
sank	sanction
sanktet	sanctitude
sanktete	sanctity
sanktre	sanctuary
sanktm	sanctum
sand	sand
sandl	sandal
san	sane
n-san	insane
s^nt	sanity
sange_n	sanguine
ksang^nt	consanguinity
sange_nre	sanguinary
sanetre	sanitary
n-sanetre	insanitary
sanetsh	sanitation
sapent	sapient
saponf	saponify
	
# Page 198 Column 2	
safir	sapphire
saraband	saraband
sarkasm	sarcasm
sark^st	sarcastic
sarkma	sarcoma
sarkof	sarcophagus
sarkofi	sarcophagi
sa~den	sardine
sa~donek	sardonic
sa~donex	sardonyx
sarsprela	sarsaparilla
sa~trl	sartorial
ssfras	sassafras
satnek	satanic
sachl	satchel
sasha&'t	satiate
nsashb	insatiable
sashb	satiable
sasha&'sh	satiation
satite	satiety
satn	satin
sati~	satire
satrk	satiric
satr^k	satirical
satres	satirist
	
# Page 198 Column 3	
satriz	satirize
sat	satisfy
ds)at	dissatisfy
satsh	satisfaction
sat	satisfactory
n-sat	unsatisfactory
satra	saturate
satrash	saturation
satnin	saturnine
sos	sauce
sospan	saucepan
soser	saucer
sose|	saucily
sose-nes	sauciness
sose	saucy
saukraut	sauerkraut
sontr	saunter
sosj	sausage
savj	savage
savje	savagely
savjre	savagery
savana	savanna
sav	save
savb	savable
savd	saved
	
# Page 199 Column 1	
savr	savior
savr	savor
so	saw
sodust	sawdust
s'ors	sawhorse
son	sawn
soer	sawyer
saxn	Saxon
saxfn	saxophone
skabe~d	scabbard
skafold	scaffold
skold	scald
skolp	scallop
skalp	scalp
skalpl	scalpel
skandl	scandal
skandlezash	scandalization
skandliz	scandalize
skandlus	scandalous
skandnav	Scandinavian
skansh	scansion
skant	scant
skante|	scantily
skantenes	scantiness
skapla	scapula
	
# Page 199 Column 2	
skaplr	scapular
skarab	scarab
skrs	scarce
skr^s	scarcity
skarf	scarf
skarf	scarify
skar^f	scarification
skarlatna	scarlatina
skrle	scarlet
skate~	scatter
skate~d	scattered
skavnje~	scavenger
sanareo	scenario
sen	scene
senre	scenery
senek	scenic
sen^k	scenical
sent	scent
sentd	scented
septe~	scepter
skedl	schedule
skem	scheme
skem^a	schematic
skematiz	schematize
skeme~	schemer
	
# Page 199 Column 3	
ske~tso	scherzo
ssm	schism
ssm^a	schismatic
shest	schist
skl	school
sklr	scholar
sklre	scholarly
sklr^sh	scholarship
skl^st	scholastic
sklastss	scholasticism
sklbk	schoolbook
sklboe	schoolboy
skl'us	schoolhouse
sklmas	schoolmaster
sklrm	schoolroom
skune~	schooner
sa&eteka	sciatica
sa&ens	science
sa&en-df	scientific
sa&entes	scientist
semete~	scimitar
sentela	scintilla
sentelant	scintillant
sentela	scintillate
sentelash	scintillation
	
# Page 200 Column 1	
sa&en	scion
ssrs	scissors
skof	scoff
skofr	scoffer
skop	scope
skorch	scorch
skor	score
skon	scorn
skond	scorned
skonf	scornful
skorpn	scorpion
skoch	Scotch
skndrel	scoundrel
skrj	scourge
skrapr	scraper
skrol	scrawl
skru	screw
skreb	scribble
skrept	script
skreptrl	scriptural
skreptr	scripture
skrol	scroll
skrub	scrub
skrup	scruple
skrup^s	scrupulosity
	
# Page 200 Column 2	
skrupus	scrupulous
n-skrupus	unscrupulous
skrutne	scrutiny
skrutniz	scrutinize
skufl	scuffle
skuln	scullion
sklpte~	sculptor
sklptrl	sculptural
sklptr	sculpture
skm	scum
skr^l	scurrility
skrelus	scurrilous
skrve	scurvy
sith	scythe
sel	seal
seld	sealed
selsken	sealskin
s(ech	search
rsech	research
s(eche~	searcher
s(echli	searchlight
sesn	season
sesnb	seasonable
sesnl	seasonal
sesnd	seasoned
	
# Page 200 Column 3	
n-sesnb	unseasonable
sesed	secede
sesesh	secession
seseshes	secessionist
seklud	seclude
sekludd	secluded
seklsh	seclusion
seknd	second
sekndre|	secondarily
sekndre	secondary
sekndd	seconded
sekndr	seconder
seknde	secondly
sekret	secret
sekrse	secrecy
skretd	secreted
sekresh	secretion
sekretv	secretive
sekrete	secretly
sekretre	secretory
sek^re	secretary
sek^rl	secretarial
sek^ra&'t	secretariat
sekt	sect
non-sektra&'n	nonsectarian
	
# Page 201 Column 1	
sektra&'n	sectarian
sektre	sectary
seksh	section
sekshl	sectional
sekshl-sm	sectionalism
sekshliz	sectionalize
seksha|	sectionally
sekte~	sector
seklr	secular
sekr	secure
sekre	securely
sek^r	security
sedan	sedan
sedat	sedate
sedat-nes	sedateness
sedatv	sedative
sedntre	sedentary
sedem	sediment
sedemre	sedimentary
sedemsh	sedimentation
sedsh	sedition
sedesh	seditious
sedus	seduce
sedusr	seducer
seduss	seduces
	
# Page 201 Column 2	
sedusb	seducible
seduksh	seduction
sedukv	seductive
sedlus	sedulous
seme	seemly
n-seme	unseemly
sepj	seepage
ser-surkr	seersucker
seth	seethe
segm	segment
seg^m	segmental
segmre	segmentary
segmsh	segmentation
segreg	segregate
segregsh	segregation
sism^o	seismograph
sism^o(	seismology
sez	seize
sezb	seizable
sezd	seized
sess	seizes
seshu	seizure
seldm	seldom
selek	select
selekt	selected
	
# Page 201 Column 3	
seleksh	selection
selekv	selective
selekvte	selectivity
selekman	selectman
selekr	selector
selenem	selenium
self	self
s(^as(esh	self-assertion
s(^ashu^t	self-assured
s(^kman	self-command
s(^kplasnse	self-complacency
s(^kse	self-conceit
s(^kf	self-confidence
s(^kshus	self-conscious
s(^ktnd	self-contained
s(k^deksh	self-contradiction
s(k^dekre	self-contradictory
s(k^l	self-control
s(^d-set	self-deceit
s(^dfens	self-defense
s(^dnil	self-denial
s(ds^ksh	self-destruction
s(^e~mn^t	self-determined
s(^edu^t	self-educated
s(^estm	self-esteem
	
# Page 202 Column 1	
s(^evdn	self-evident
s(^esamnsh	self-examination
s(^esk'	self-executing
s(^gv	self-government
s(^mp	self-importance
s(^ndust	self-induced
s(^ndlj	self-indulgence
s(n^s	self-interest
s(^sh	selfish
s(^shnes	selfishness
ns^sh	unselfish
s(^lv	self-love
s(^mad	self-made
s(^prsepsh	self-perception
s(^posst	self-possessed
s(^relins	self-reliance
s(^renun-sa&'sh	self-renunciation
s(^rprch	self-reproach
s(^res	self-respect
srs^nt	self-restraint
s(^richus	self-righteous
s(^sakref	self-sacrifice
s(^sat^t	self-satisfied
s(^sta~te~	self-starter
s(^stild	self-styled
	
# Page 202 Column 2	
s(^suf	self-sufficient
s(^s^t'	self-supporting
s(^serend	self-surrender
selvj	selvage
semnteks	semantics
semfor	semaphore
semblans	semblance
semeste~	semester
semanl	semiannual
semes)ekl	semicircle
semes^l	semicircular
semes)vizd	semicivilized
semekoln	semicolon
semedtacht	semidetached
semefinl	semifinal
semna~	seminar
semnre	seminary
semesoshl	semiofficial
semeopak	semiopaque
semepreshus	semiprecious
semet^parent	semitransparent
semeke	semiweekly
senat	senate
senate~	senator
senatrl	senatorial
	
# Page 202 Column 3	
senatra|	senatorially
senate~^sh	senatorship
sen	send
gd-sen	godsend
missent	missent
sen^r	sender
sent	sent
senl	senile
sen^l	senility
senr	senior
sen^r	seniority
sensa	sensate
n-sensa	insensate
sensash	sensation
sensashl	sensational
sensashl-sm	sensationalism
sensasha|	sensationally
sens	sense
sensl	senseless
sens^b	sensibility
sensb	sensible
senstv	sensitive
senstvte	sensitivity
senstezash	sensitization
senstiz	sensitize
	
# Page 203 Column 1	
senstizer	sensitizer
sensore	sensory
senshul	sensual
senushul-sm	sensualism
senshu^l	sensuality
senshule	sensually
senshuus	sensuous
sentns	sentence
sentnsh	sententious
sensht	sentient
senshns	sentience
senshse	sentiency
sentem	sentiment
sent^m	sentimental
sent^m-sm	sentimentalism
sent^m^st	sentimentalist
sentem^l	sentimentality
sent^miz	sentimentalize
sent^me	sentimentally
sen-tnl	sentinel
sentre	sentry
sepr	separate
sepr^b	separability
seprb	separable
sepre	separately
	
# Page 203 Column 2	
seprsh	separation
sepr^st	separatist
seprv	separative
sepr^r	separator
sepa&'	sepia
sepoe	sepoy
sepss	sepsis
septek	septic
a^sep	antiseptic
sepul	sepulcher
sepull	sepulchral
sepultr	sepulture
seke_l	sequel
seke_ns	sequence
seke_ste~	sequester
seke_ste~d	sequestered
seke_stra	sequestrate
seke_strash	sequestration
seke_n	sequin
sekoa&'	Sequoia
seraf	seraph
serafk	seraphic
serafm	seraphim
seba&'n	Serbian
s(e~nad	serenade
	
# Page 203 Column 3	
s(e~nata	serenata
seren	serene
serene	serenely
seren-nes	sereneness
ser^nt	serenity
sef	serf
s(ej	serge
sajnt	sergeant
