# Page 226 Column 1	
taba~d	tabard
tabasko	tabasco
tabe~n^k	tabernacle
tab	table
tablo	tableau
tabkloth	tablecloth
tabspun	tablespoon
table	tablet
taba_r	tableware
tabloe	tabloid
tabu	taboo
tabret	taboret
tab^u	tabulate
tablr	tabular
tablriz	tabularize
takmete~	tachometer
tast	tacit
tastn	taciturn
tastnte	taciturnity
takl	tackle
takt	tact
taktf	tactful
taktl	tactile
takt^l	tactility
	
# Page 226 Column 2	
taktl	tactless
takteks	tactics
takt^k	tactical
taktsh	tactician
tafta	taffeta
talr	tailor
tant	taint
tantd	tainted
tak	take
o^tak	overtake
takd-n	takedown
takn	taken
takof	take-off
tuk	took
u^tak	undertake
talent	talent
talentd	talented
talesman	talisman
tok	talk
toktv	talkative
tokr	talker
tol	tall
tolr	taller
toles	tallest
tolnes	tallness
	
# Page 226 Column 3	
tmrak	tamarack
tmrend	tamarind
tmbren	tambourine
tam	tame
tame	tamely
tame~	tamer
tames	tamest
n-tamd	untamed
tmpr	tamper
tnje~	tanager
tndm	tandem
tang	tang
tnjnt	tangent
tnjnsh	tangential
tnjeren	tangerine
tnjb	tangible
ntnjb	intangible
ntj	tangibility
tangl	tangle
dsntangl	disentangle
ntangl	entangle
tank	tank
tankj	tankage
tanka~d	tankard
tanke~	tanker
	
# Page 227 Column 1	
tane~	tanner
tane~e	tannery
tanek	tannic
tntliz	tantalize
tntlezash	tantalization
tntlm	tantalum
tntamnt	tantamount
tapr	taper
tapes	tapestry
tapka	tapioca
tapr	tapir
tapt	tappet
tarntla	tarantula
tarntela	tarantella
ta~de	tardy
ta~der	tardier
ta~de^st	tardiest
ta~de|	tardily
target	target
tarf	tariff
tarlatn	tarlatan
tansh	tarnish
n-tansht	untarnished
tarpolen	tarpaulin
tarpn	tarpon
	
# Page 227 Column 2	
ta~t	tart
tatn	tartan
ta~ta~	tartar
ta~tark	tartaric
tas(k	task
tasl	tassel
tasld	tasseled
tast	taste
tastd	tasted
tastf	tasteful
tastl	tasteless
taste~	taster
taste|	tastily
tastenes	tastiness
taste	tasty
tate~	tatter
tate~d	tattered
tate~|	tatters
tatl	tattle
tatu	tattoo
tatud	tattooed
tont	taunt
tontd	taunted
tot	taut
tot-nes	tautness
	
# Page 227 Column 3	
tot^o(	tautology
tave~n	tavern
todre	tawdry
tone	tawny
tax	tax
taxb	taxable
taxash	taxation
taxt	taxed
taxs	taxes
taxe	taxi
taxkab	taxicab
taxmete~	taximeter
taxdeme	taxidermy
taxdemes	taxidermist
tech	teach
tot	taught
tech^b	teachability
techb	teachable
teche~	teacher
tem	team
temste~	teamster
temrk	teamwork
te~	tear
terf	tearful
terl	tearless
	
# Page 228 Column 1	
te~|	tears
ta~	tear
tor	tore
torn	torn
tes	tease
tesd	teased
tespun	teaspoon
tespunf	teaspoonful
teknek	technic
tekn^k	technical
tekn^l	technicality
teknsh	technician
teknek	technique
tekn^o(	technology
tedm	tedium
tedus	tedious
telot^o	telautograph
tel^e	telegraph
tel^g	telegram
tel^er	telegrapher
tel^ek	telegraphic
tel^ekl	telegraphical
tel^e|	telegraphy
telpthe	telepathy
telpthek	telepathic
	
# Page 228 Column 2	
telfn	telephone
telfnek	telephonic
telfn^ke	telephonically
telfne	telephony
tel-skp	telescope
tel-skpk	telescopic
tel-skp^k	telescopical
te~	tell
te~tal	telltale
to	told
telrm	tellurium
tmblr	temblor
tm^r	temerity
tmrar	temerarious
tmpr	temper
tmpram	temperament
tmpr^m	temperamental
tmpr^me	temperamentally
tmp	temperance
ntmp	intemperance
tmpra	temperate
tmprae	temperately
tmpranes	temperateness
tmpratr	temperature
tmpes	tempest
	
# Page 228 Column 3	
tmpesuus	tempestuous
tmpla	template
tmpl	temple
tmpld	templed
tmpo	tempo
tmprl	temporal
tmpr^l	temporality
tmprre	temporary
tmprre|	temporarily
tmprezash	temporization
tmpriz	temporize
tmprizer	temporizer
tmt	tempt
tmtsh	temptation
tmtd	tempted
tmte~	tempter
tmtres	temptress
