# Page 104 Column 1
kisr kaiser
klidskp kaleidoscope
kangaru kangaroo
kel keel
ken keen
kenn keenness
kp keep
kp^r keeper
kenl kennel
kpt kept
krnl kernel
kersen kerosene
ketl kettle
ke key
kebor keyboard
kenot keynote
kake khaki
kedev khedive
kek kick
ked-nap kidnap
ked-ne kidney
kel kill

# Page 104 Column 2
kel kiln
kel^g kilogram
kelo_t kilowatt
kemno kimono
ken kin
ki kind
ken-ga~dn kindergarten
kendl kindle
? ka&en kindliness
? ka&e kindly
kin kindness
kendred kindred
keng king
kenk kink
kensh kinship
kensmn kinsman
kes kiss
kechn kitchen
kit kite
keth kith
ketn kitten
kleptomn kleptomania

# Page 104 Column 3
nak knack
nav knave
navre knavery
navesh knavish
ned knead
ne knee
ne,l kneel
nel knell
nif knife
ni^d knighthood
net knit
nob knob
nok knock
nol knoll
not knot
no know
no^e knowingly
nol knowledge
nukl knuckle
kodak kodak
koshe~ kosher
kumes kumiss
