
# Begin U's
# Page 190 Column 1
eubktus ubiquitous
eubke_te ubiquity
ugen ugliness
uge ugly
ulan uhlan
user ulcer
usera ulcerate
userash ulceration
userus ulcerous
uste~ ulster
uter ulterior
utm ultimate
utmatm ultimatum
ut ultimo
u)^sm ultraism
u)^st ultraist
u)^maren ultramarine
u)^mon ultramontane
u)^vil ultraviolet
ul^u ululate
ul^ush ululation
mbrj umbrage
mbrela umbrella
? umlaut umlaut
mpi umpire
nb unable

# Page 190 Column 2
unabrejd unabridged
naksb unacceptable
nakdt' unaccommodating
nakp^t unaccomplished
naktb unaccountable
nakus^t unaccustomed
naka^t unacquainted
unadon^t unadorned
unafkt unaffected
unadd unaided
unaloed unalloyed
? no(^b unalterable
unam un-american
eunan^mt unanimity
eunan unanimous
nansb unanswerable
nans^t unanswered
unapreshtv unappreciative
unaprchb unapproachable
una~m^t unarmed
unasalb unassailable
unasm' unassuming
unatcht unattached
unatnb unattainable
unatm^t unattempted
unatrkv unattractive
unospesh unauspicious

# Page 190 Column 3
unoth^n unauthentic
unothriz unauthorized
unaval unavailable
nvoe unavoidable
una_r unaware
nbal unbalanced
nbnon unbeknown
nbe unbelief
nbe^r unbeliever
nbend unbend
nbn unbound
nbrak unbreakable
nbrokn unbroken
nbsla unbusinesslike
? n-ko^t uncalled
n-kane uncanny
ns(emnus unceremonious
nsetn uncertain
nsetnte uncertainty
ncha~tb uncharitable
nsv uncivil
unkl uncle
? n-klen unclean
? n-kme uncomely
? n-kftb uncomfortable
? n-kmn uncommon
? n-kmu^v uncommunicative

# Page 191 Column 1
? n-kpanon uncompanionable
? n-kp uncomplaining
n-kplemre uncomplimentary
n-kprmis' uncompromising
n-ks(en^t unconcerned
n-kdm uncondemned
n-kdsh unconditional
n-kjen uncongenial
n-kek unconnected
n-kkr unconquerable
n-kshb unconscionable
n-kshus unconscious
n-ksm^t unconsumed
n-ktes uncontested
n-k^d uncontradicted
n-k^l uncontrollable
n-k^ve~t uncontrovertible
n-kvenst unconvinced
n-kr^t uncorrected
n-kuth uncouth
n-kv uncover
unksh unction
unktuus unctuous
n-klva^t uncultivated
n-krbd uncurbed
n-dt^t undated
n-dont^t undaunted

# Page 191 Column 2
n-dse undeceive
n-dsi undecided
n-dni undeniable
u^ under
u^bd underbid
u^bred underbred
u^brsh underbrush
u^chj undercharge
u^ke~nt undercurrent
u^kut undercut
u^d-n underdone
u^estm underestimate
u^g undergo
u^grad undergraduate
u^gr underground
u^groth undergrowth
u^'nd^t underhanded
u^li underlie
u^lan underline
u^l' underling
u^mn undermine
u^neth underneath
u^pa underpay
u^ra underrate
u^skor underscore
u^sel undersell
