# Page 1 Column 1	
abak	aback
abaft	abaft
aband	abandon
aband-m	abandonment
abat	abate
abatb	abatable
abatd	abated
abat-m	abatement
unabatd	unabated
abot	abbot
abrev	abbreviate
abrev	abbreviation
unabrev^t	unabbreviated
abdek	abdicate
abdek^t	abdicated
abdeksh	abdication
abdomn	abdomen
abdomnl	abdominal
abduk	abduct
	
# Page 1 Column 2	
abduksh	abduction
abd	abed
aberans	aberrance
aberant	aberrant
aberash	aberration
abet	abet
abans	abeyance
ab'or	abhor
ab'orens	abhorrence
ab'orent	abhorrent
abi	abide
abju	abjure
abjush	abjuration
abjus	abjures
ablatv	ablative
abl	able
a^b	ability
ablbo^t	able-bodied
able	ably
dsa^b	disability
	
# Page 1 Column 3	
dsab	disable
enb	enable
en^b	inability
nb	unable
ablsh	ablution
abnegsh	abnegation
abnoml	abnormal
abnom^l	abnormality
abnomete	abnormity
abod	aboard
abolsh	abolish
abolesh	abolition
aboleshes	abolitionist
abomnat	abominate
abomnb	abominable
abomnsh	abomination
aborej	aboriginal
aborejnes	aborigines
abn	abound
ab	about
	
# Page 2 Column 1	
arabs	whereabouts
abv	above
abrad	abrade
abrash	abrasion
abrasv	abrasive
unabradd	unabraded
abrest	abreast
abrej	abridge
abrejm	abridgment
unabrejd	unabridged
abrog	abrogate
abrog^t	abrogated
abrogsh	abrogation
abrp	abrupt
abrpe	abruptly
abrpnes	abruptness
abss	abscess
absknd	abscond
abskndr	absconder
abs	absence
abs	absent
abse	absentee
abse	absently
absmin^te	absent-mindedly
absenth	absinth
	
# Page 2 Column 2	
abso	absolute
absoe	absolutely
absolsh	absolution
absosm	absolutism
absolv	absolve
absob	absorb
absobd	absorbed
absobent	absorbent
absopsh	absorption
abstn	abstain
abstnr	abstainer
abstmus	abstemious
abstnens	abstinence
abstnnt	abstinent
abs(k	abstract
abs(kte	abstractedly
abs(ksh	abstraction
abstrus	abstruse
abse~d	absurd
abse~dte	absurdity
abndns	abundance
abndn	abundant
s^abndn	superabundant
abeu	abuse
abeu^t	abused
	
# Page 2 Column 3	
abeus	abuses
abeuv	abusive
dsabeu	disabuse
abut	abut
abut-m	abutment
abute~	abutter
abes	abyss
abesml	abysmal
akasha	acacia
akadme	academy
akadmek	academic
akadmsh	academician
aksed	accede
akselra	accelerate
akselrash	acceleration
akselra^r	accelerator
aksent	accent
aksenteut	accentuate
aksenteush	accentuation
unaksent-d	unaccented
aks(	accept
aks(^b	acceptability
aks(b	acceptable
aks(	acceptance
aks(sh	acceptation
	
# Page 3 Column 1	
aks(s	accepts
nonaks(	non-acceptance
naks(b	unacceptable
ak-ss	access
ak-ss^b	accessibility
ak-ss	accessible
aksesh	accession
ak-ssre	accessory
enak-ss	inaccessible
aksedns	accidence
aks	accident
aksl	accidental
aks-s	accidents
aklam	acclaim
aklamd	acclaimed
aklamsh	acclamation
aklimat	acclimate
aklimatiz	acclimatize
akolad	accolade
akdt	accommodate
akdsh	accommodation
nakdt'	unaccommodating
akpe	accompany
akpe-m	accompaniment
akpe^st	accompanist
	
# Page 3 Column 2	
nakpe^t	unaccompanied
akples	accomplice
kpl^s	complicity
akp	accomplish
akpm	accomplishment
akr	accord
akrns	accordance
akr^e	accordingly
akodn	accordion
akos	accost
akos^t	accosted
akt	account
aktb	accountable
aktnse	accountancy
aktn	accountant
naktb	unaccountable
akre	accredit
akresh	accretion
akru	accrue
akrul	accrual
akeum^u	accumulate
akra	accurate
akrse	accuracy
akrae	accurately
enakrse	inaccuracy
	
# Page 3 Column 3	
enakrae	inaccurately
akeu	accuse
akeush	accusation
akeutv	accusative
akus	accustom
unakus^t	unaccustomed
asebte	acerbity
aseta	acetate
as^a	acetic
asetlen	acetylene
achevm	achievement
akrom^a	achromatic
ased	acid
asedte	acidity
ased^u	acidulate
asedlus	acidulous
ak	acknowledge
aks	acknowledges
akm	acknowledgment
akoli	acolyte
akni	aconite
akon	acorn
ak^st	acoustic
aka	acquaint
aka	acquaintance
	
# Page 4 Column 1	
aka-s	acquaintances
naka^t	unacquainted
ake_s	acquiesce
ake_sns	acquiescence
ake_snt	acquiescent
aki	acquire
aki^t	acquired
akim	acquirement
akis	acquires
akessh	acquisition
akestv	acquisitive
ake_tl	acquittal
akred	acrid
akredte	acridity
akremnus	acrimonious
akremne	acrimony
akrobt	acrobat
akrob^a	acrobatic
akrp	acropolis
akrs	across
akr^st	acrostic
ak	act
akt	acted
aksh	action
akshb	actionable
	
# Page 4 Column 2	
akv	active
akvte	activity
akr	actor
akres	actress
aks	acts
enak	enact
enakv	inactive
enakvte	inactivity
ra&'k	react
ra&'kshre	reactionary
renak	reenact
t^ak	transact
aktl	actual
akt^l	actuality
aktle	actually
aktre	actuary
akteut	actuate
akteutd	actuated
akeut	acute
akeute	acuity
akeumn	acumen
akeutnes	acuteness
adj	adage
adajo	adagio
adamn-t	adamant
	
# Page 4 Column 3	
adamntn	adamantine
adap	adapt
adap^b	adaptability
adapb	adaptable
adapsh	adaptation
adap^r	adapter
adap^v	adaptive
adndm	addendum
adnda	addenda
ade~	adder
adek	addict
adeksh	addiction
adsh	addition
adshl	additional
adsha|	additionally
adr	address
adrs	addresses
adr^o	addressograph
ra&'dr^t	readdressed
s(^adr^t	self-addressed
nadr^t	unaddressed
adus	adduce
aduss	adduces
adnoe	adenoid
adep	adept
	
# Page 5 Column 1	
adek	adequate
adekse	adequacy
adeke	adequately
enadek	inadequate
ad'e~	adhere
ad'e~d	adhered
ad'ens	adherence
ad'ent	adherent
ad'e~|	adheres
ad'esh	adhesion
ad'esv	adhesive
adeu	adieu
ajas	adjacent
ajkv	adjective
ajoen	adjoin
ajoent	adjoined
aje~n	adjourn
aje~nt	adjourned
ajj	adjudge
