# Page 18 Column 1	
babt	babbitt
bab	babble
baklora&'t	baccalaureate
bachlr	bachelor
baselus	bacillus
baseli	bacilli
bak	back
bakbon	backbone
bakr	backer
bakgrnd	background
bak'nd	backhand
bakslide~	backslider
bakd	backward
bakd-nes	backwardness
bako_sh	backwash
bakterm	bacterium
baktera&'	bacteria
bakterl	bacterial
bakter^o(	bacteriology
bdnash	badinage
bafl	baffle
bag	bag
bagas	bagasse
bagtel	bagatelle
	
# Page 18 Column 2	
bgj	baggage
bagpip	bagpipe
bal	bail
balf	bailiff
bale_k	bailiwick
balm	bailment
bal	balance
nbal^t	unbalanced
balbregn	balbriggan
balkne	balcony
baldaken	baldachin
boldrk	baldric
bok	balk
balas	ballast
nbalas^t	unballasted
bala	ballet
bal^sts	ballistics
balun	balloon
balot	ballot
bolsam	balsam
baluste~	baluster
balustra	balustrade
bambu	bamboo
banl	banal
ban^l	banality
	
# Page 18 Column 3	
bnana	banana
bandj	bandage
bandjd	bandaged
bandana	bandanna
bandet	bandit
bantler	bandoleer
bang	bang
bansh	banish
banshm	banishment
baneste~	banister
bank	bank
bankp	bankrupt
bankpse	bankruptcy
banke_t	banquet
bantr	banter
baptiz	baptize
bapt-sm	baptism
baptes	Baptist
bar	bar
ba~d	barred
barb	barb
barbd	barbed
barbra&'n	barbarian
barbrk	barbaric
barbr-sm	barbarism
	
# Page 19 Column 1	
barb^r	barbarity
barbrus	barbarous
barbkeu	barbecue
barbr	barber
barbkan	barbican
bargn	bargain
bargnd	bargained
barj	barge
bareton	baritone
barle	barley
ba~n^k	barnacle
bar^o	barograph
baromete~	barometer
barometrk	barometric
barn	baron
barnes	baroness
barnet	baronet
baronl	baronial
barak	barrack
barash	barrage
baratre	barratry
brl	barrel
baren	barren
baren-nes	barrenness
barekad	barricade
	
# Page 19 Column 2	
barer	barrier
bareste~	barrister
bas	base
basl	basal
basbod	baseboard
basm	basement
bass	bases
bask	basic
bass	basis
dbas	debase
bashf	bashful
bashfnes	bashfulness
baseleka	basilica
baselesk	basilisk
basun	bassoon
batn	baton
btaln	battalion
bte~e	battery
btl	battle
banet	bayonet
biu	bayou
bekn	beacon
begl	beagle
ba&'df	beatify
ba&'t^f	beatification
	
# Page 19 Column 3	
