# Page 26 Column 1	
kabl	cabal
kabj	cabbage
kabn	cabin
kab	cabinet
kab	cable
kab^g	cablegram
kadavr	cadaver
kadns	cadence
kadnza	cadenza
kadt	cadet
kaduss	caduceus
kaftera&'	cafeteria
kasn	caisson
kajol	cajole
kal^mt	calamity
kalam	calamitous
kalsem	calcium
kalsemin	calcimine
kalsin	calcine
kal	calculate
kalb	calculable
kalsh	calculation
kal^r	calculator
nkalb	incalculable
	
# Page 26 Column 2	
mskal	miscalculate
kalend	calendar
kalebr	caliber
kalebra	calibrate
kaleko	calico
kalepr	caliper
kalesthen	calisthenics
ko	call
reko	recall
kalipe	calliope
kalus	callous
kal^s	callosity
kam	calm
kamd	calmed
kame	calmly
kam-nes	calmness
kalre	calorie
kalm-ne	calumny
kalm-na&'t	calumniate
kalm-nus	calumnious
kambrk	cambric
kaml	camel
kampan	campaign
kamfr	camphor
kann	Canadian
	
# Page 26 Column 3	
kanl	canal
kanre	canary
kans	cancel
kanssh	cancellation
kanser	cancer
kdlab	candelabrum
kddat	candidate
kddse	candidacy
kddatr	candidature
kdl	candle
kde~	candor
kdd	candid
kde	candy
kded	candied
kanin	canine
kaneste~	canister
kanke~	canker
kand	canned
kane~e	cannery
kanebl	cannibal
kanun	cannon
kanunad	cannonade
kanone~	cannoneer
kane	canny
kanu	canoe
	
# Page 27 Column 1	
kanpe	canopy
ktlup	cantaloupe
kten	canteen
kte~	canter
ktelev	cantilever
kton	canton
kanvas	canvas
kuchuk	caoutchouc
kap	capable
kap^b	capability
kapash	capacious
kapasta	capacitate
kap^s	capacity
nkap	incapable
nkapasta	incapacitate
nkap^s	incapacity
kaplre	capillary
kapl^r	capillarity
kpt	capital
kptsm	capitalism
kpt^st	capitalist
kptezash	capitalization
kptiz	capitalize
kpta|	capitally
kapt^u	capitulate
	
# Page 27 Column 2	
rekap^u	recapitulate
kapres	caprice
kapresh	capricious
kapsiz	capsize
kapstn	capstan
kapsul	capsule
kaptn	captain
kapsh	caption
kapshus	captious
kaptr	capture
kaptfat	captivate
kaptfte	captivity
kapte~	captor
karat	carat
karvan	caravan
krbi	carbide
krbin	carbine
krbolk	carbolic
krbn	carbon
bkrbnat	bicarbonate
krbidra	carbohydrate
krbnek	carbonic
krbnezash	carbonization
krbniz	carbonize
krbrnd	carborundum
	
# Page 27 Column 3	
krbrete~	carburetor
kakas	carcass
kr-senoma	carcinoma
ka~dbor	cardboard
ka~da&'k	cardiac
ka~dnl	cardinal
ka	care
kaf	careful
ka-l	careless
ka-lnes	carelessness
ka-s	cares
ka^uorn	careworn
krer	career
kares	caress
karebu	caribou
karek	caricature
krmn	carmine
krnl	carnal
krnj	carnage
krnev	carnival
krnev	carnivorous
nkrnat	incarnate
nkrnsh	incarnation
karl	carol
karm	carom
	
# Page 28 Column 1	
karaus	carouse
karp	carp
krpntr	carpenter
krpt	carpet
krj	carriage
karn	carrion
karot	carrot
kae	carry
kae^r	carrier
kaes	carries
ka~tj	cartage
ka~tlj	cartilage
ka~tn	carton
ka~tun	cartoon
ka~tsh	cartouche
ka~trej	cartridge
krv	carve
kara&'td	caryatid
kaskad	cascade
kash	cash
kashb	cashable
kasht	cashed
kashe~	cashier
kaseno	casino
kasrol	casserole
	
# Page 28 Column 2	
kasteg	castigate
kasteg^t	castigated
kastegsh	castigation
kashul	casual
kashule	casually
kashu^l	casualty
kashust	casuist
kataklsm	cataclysm
kat-falk	catafalque
katlepse	catalepsy
katl	catalogue
katlss	catalysis
kat-mnt	catamount
katpult	catapult
katrk	cataract
kata~	catarrh
katarl	catarrhal
katas	catastrophe
katask	catastrophic
kateksm	catechism
katekiz	catechize
kateg	category
kateg^k	categorical
katnre	catenary
katpelr	caterpillar
	
# Page 28 Column 3	
kathed	cathedral
kath	catholic
kathss	catholicism
kath^s	catholicity
nonkath	non-catholic
kokus	caucus
kolflr	cauliflower
ks(	cause
ks(	because
ks(l	causal
ks(sh	causation
ks(tv	causative
ks(-s	causes
k^st	caustic
koteriz	cauterize
kotrezash	cauterization
kosh	caution
koshre	cautionary
koshd	cautioned
koshus	cautious
prekosh	precaution
kavlre	cavalry
kavlkad	cavalcade
