# Page 49 Column 1	
daksu'nd	dachshund
dafdel	daffodil
dage~tip	daguerreotype
dante	dainty
danter	daintier
dante^st	daintiest
dante|	daintily
dala&'ns	dalliance
tmj	damage
tmjd	damaged
n-dmnf	indemnify
n-dmjd	undamaged
dmask	damask
damp	damp
dmpn	dampen
dampne~	dampener
dampr	damper
dampnes	dampness
dans	dance
danst	danced
danser	dancer
dndelin	dandelion
dnde	dandy
dnje~	danger
	
# Page 49 Column 2	
dnjus	dangerous
dnje~|	dangers
n-dnje~d	endangered
da~	dare
da~d	dared
da~|	dares
dark	dark
darkn	darken
darknes	darkness
data	data
datm	datum
dt	date
dt^t	dated
n-dt^t	undated
datv	dative
dote~	daughter
dotelo	daughter-in-law
g^dote~	granddaughter
dont	daunt
dontl	dauntless
n-dontd	undaunted
dvnpot	davenport
davt	davit
da	day
dadrem	daydream
	
# Page 49 Column 3	
dali	daylight
das	days
datm	daytime
dazl	dazzle
dazld	dazzled
dd	dead
ddn	deaden
ddnd	deadened
ddi	deadeye
ddfo	deadfall
ddenes	deadliness
def	deaf
defnd	deafened
defnes	deafness
de~	deal
de~^r	dealer
de~|	deals
delt	dealt
de~	dear
de~^r	dearer
de~^st	dearest
de~e	dearly
de~|	dears
de~e	deary
n-de~d	endeared
	
# Page 50 Column 1	
derth	dearth
deth	death
dethbd	deathbed
dethl	deathless
dethla	deathlike
dethe	deathly
db^k	debacle
dbat	debate
dbatb	debatable
dbatd	debated
dbate~	debater
dbentr	debenture
dbeleta	debilitate
dbeleta^t	debilitated
dbeletsh	debilitation
d^b	debility
dbna~	debonair
dt	debt
dbt	debit
dte~	debtor
n-dt^t-nes	indebtedness
dbeu	debut
dekad	decade
dekadns	decadence
dekalk	decalcomania
	
# Page 50 Column 2	
dekte~	decanter
dekapta	decapitate
dekaptsh	decapitation
dekathlon	decathlon
dses	decease
dsest	deceased
dsedn	decedent
d-set	deceit
d-setf	deceitful
dse	deceive
dse^r	deceiver
dses	deceives
dsepsh	deception
dseptv	deceptive
d-sent	decent
d-sense	decency
d-sente	decently
nd-sense	indecency
nd-sent	indecent
dsi	decide
dsi^te	decidedly
dsis	decides
d-sesh	decision
d-sisv	decisive
d-sisve	decisively
	
# Page 50 Column 3	
d-sivnes	decisiveness
nd-sesh	indecision
n-dsi^t	undecided
d-seml	decimal
d-semat	decimate
d-sif	decipher
d-sif^b	decipherable
n-d-sif^b	undecipherable
de^m	declaim
de^msh	declamation
de^matre	declamatory
de^r	declare
de^rb	declarable
de^rash	declaration
de^ratv	declarative
de^ratre	declaratory
de^n	decline
de^nsh	declension
de^nd	declined
de^vte	declivity
e^n	incline
re^n	recline
dekksh	decoction
dekpo	decompose
dekpo^t	decomposed
	
# Page 51 Column 1	
dekposh	decomposition
dekra	decorate
dekrash	decoration
dekra^v	decorative
dekra^r	decorator
dekorm	decorum
dekorus	decorous
dekoe	decoy
dekoed	decoyed
dekres	decrease
dekrest	decreased
dekre	decree
dekrept	decrepit
dekreptu	decrepitude
ddekat	dedicate
ddekash	dedication
ddekate~	dedicator
ddekatre	dedicatory
ddus	deduce
dduss	deduces
ddusb	deducible
dduk	deduct
ddukb	deductible
dduksh	deduction
ddukve	deductively
	
# Page 51 Column 2	
ded	deed
dedd	deeded
msded	misdeed
dep	deep
depn	deepen
depnes	deepness
depth	depth
de~	deer
dfas	deface
efas	efface
dfalk	defalcate
dfalsh	defalcation
dfalk^r	defalcator
dfam	defame
dfamsh	defamation
dfamatre	defamatory
dfot	default
dfotd	defaulted
dfote~	defaulter
dfet	defeat
dfetd	defeated
dfek	defect
dfeksh	defection
dfekv	defective
dfnd	defend
	
# Page 51 Column 3	
dft	defendant
dfndd	defended
dfndr	defender
dfens	defense
dfensl	defenseless
dfensb	defensible
dfensv	defensive
dfr	defer
dfrens	deference
dfrensh	deferential
dfeshse	deficiency
dfesht	deficient
dfeset	deficit
dfil	defile
dfin	define
dfinb	definable
dfn	definite
