# Page 64 Column 1	
ech	each
egr	eager
egre	eagerly
egrnes	eagerness
er	ear
e~drm	eardrum
e~mark	earmark
erldm	earldom
ere	early
erer	earlier
eres	earliest
e~ns	earnest
e~nse	earnestly
e~nsnes	earnestness
erth	earth
erthn	earthen
erthna~_	earthenware
erthenes	earthliness
erth^ka_k	earthquake
erth^d	earthward
erthrk	earthwork
erth^uum	earthworm
unerth	unearth
es	ease
	
# Page 64 Column 2	
eser	easier
ese^st	easiest
ese|	easily
esenes	easiness
unesenes	uneasiness
unese	uneasy
est	east
estn	eastern
estnr	easterner
est^d	eastward
et	eat
etb	eatable
etn	eaten
ete~	eater
unetn	uneaten
ebne	ebony
ebulent	ebullient
ebulens	ebullience
ebulesh	ebullition
esn^k	eccentric
esn^s	eccentricity
ekles^st	ecclesiastic
ekla	eclat
eklektek	eclectic
ekleps	eclipse
	
# Page 64 Column 3	
eklepst	eclipsed
ekme	economy
ekmek	economic
ekm^k	economical
ekmes	economist
ekmiz	economize
estse	ecstasy
est^a	ecstatic
esema	eczema
edb	edible
ed^b	edibility
enedb	inedible
edfes	edifice
ed^f	edification
edf	edify
edt	edit
edsh	edition
edte~	editor
edtrl	editorial
edtra|	editorially
unedt^t	unedited
edu	educate
edu	education
edu^l	educational
edu^r	educator
	
# Page 65 Column 1	
nedu^t	uneducated
efas	efface
dfas	deface
efasm	effacement
fk	effect
fkv	effective
fktl	effectual
fkte	effectually
fkteut	effectuate
fkteush	effectuation
nfktl	ineffectual
efemnat	effeminate
efemnse	effeminacy
efeves	effervesce
efevesns	effervescence
efevesnt	effervescent
efkash	efficacious
efkse	efficacy
efesht	efficient
efeshse	efficiency
enefeshse	inefficiency
enefesht	inefficient
efloresnt	efflorescent
eflux	efflux
nflux	influx
	
# Page 65 Column 2	
eft	effort
eftl	effortless
efrntre	effrontery
efuljnt	effulgent
efeush	effusion
efeuv	effusive
ego	ego
ego-sm	egoism
ego-st	egoist
egtsm	egotism
egtes	egotist
egt^st	egotistic
egrejus	egregious
egres	egress
kg	congress
n-gres	ingress
prg	progress
t^gres	transgress
eth)	either
ejak^u	ejaculate
ejk	eject
ejksh	ejection
njk	inject
rjk	reject
elab	elaborate
	
# Page 65 Column 3	
elabsh	elaboration
el^st	elastic
elas^s	elasticity
elek	elect
elesh	election
eleshe~	electioneer
elekv	elective
elekr	elector
elekrl	electoral
elekra	electorate
relek	reelect
el^k	electric
el^kl	electrical
el^sh	electrician
el^s	electricity
el^f	electrification
el^f	electrify
el^keut	electrocute
el^d	electrode
el^ler	electrolier
el^lss	electrolysis
el^lit	electrolyte
elm^t	electromagnet
el^n	electron
el^plat	electroplate
	
# Page 66 Column 1	
el^tip	electrotype
elemos	eleemosynary
eleg	elegant
eleg	elegance
elege	elegantly
eneleg	inelegant
elem	element
el^m	elemental
el^me	elementally
elemre	elementary
elfnt	elephant
elfnten	elephantine
elvat	elevate
elvatd	elevated
elvash	elevation
elvate~	elevator
elest	elicit
elessh	elicitation
