# Page 77 Column 1
fa~b	fable
fabus	fabulous
fabrk	fabric
fabrk	fabricate
!	fabrication
fasad	facade
fas	face
fas(et	facet
fash	facial
fasesh	facetious
fasl	facile
!	facilely
faslta	facilitate
fas^l	facility
faks(em	facsimile
fak	fact
faksh	faction
!	factional
fakshus	factious
faktesh	factitious
fakte~	factor
faktre	factory
fakl^v	facultative
fakte	faculty

# Page 77 Column 2
mnf	manufacture
fa~ni	Fahrenheit
fal	fail
fald	failed
falr	failure
fath	faith
fath)fnes	faithfulness
fath)l	faithless
nfath)f	unfaithful
fokn	falcon
fo	fall
fon	fallen
false	fallacy
falash	fallacious
falb	fallible
nfalb	infallible
fos	false
fos^d	falsehood
fos^f	falsification
fosf	falsify
foste	falsity
fote~	falter
fam	fame
dfam	defame
famus	famous

# Page 77 Column 3
!	infamy
famel	familiar
famel^r	familiarity
famelisash	familiarization
famelis	familiarize
famele	familiarly
nfamel	unfamiliar
fama|	family
fama|s	families
famn	famine
famsh	famish
fan^a	fanatic
fanatss	fanaticism
!	fanatics
fanse	fancy
fanser	fancier
!	fanciest
fansef	fanciful
fantse	fantasy
fantsa&'	fantasia
fant^s(t	fantastic
fa	far
!	farsighted
fath)	farther
fath)es	farthest

# Page 78 Column 1
fa~m	farm
!	farmed
fa~ma~|	farmers
!	farmhouse
!	farmyard
farth'	farthing
fas(nat	fascinate
fas(nat-d	fascinated
fas(nsh	fascination
fash	fashion
fashb	fashionable
!	old-fashioned
nfashb	unfashionable
fas(t	fast
fas(t-n	fasten
fas(te~	faster
fas(tst	fastest
fas(tdus	fastidious
fatl	fatal
fat^l	fatality
!	fatally
fath	father
fath^d	fatherhood
fath)lo	father-in-law
fathlant	fatherland

# Page 78 Column 2
fathl	fatherless
fa'm	fathom
fateg	fatigue
fatuus	fatuous
fateute	fatuity
foset	faucet
fot	fault
!	faultily
fotl	faultless
fote	faulty
fa	favor
dsfa	disfavor
fab	favorable
fa^et	favorite
!	favoritism
fas	favors
nfab	unfavorable
fe^l	fealty
fer	fear
ferf	fearful
ferl	fearless
!	fearsome
fesb	feasible
fes^b	feasibility
fest	feast

