# Page 86 Column 1
gab	gable
gaj	gage
gan	gain
gant	gained
!	gainful
!	gainsay
!	galaxy
gol	gall
galant	gallant
galantre	gallantry
glre	gallery
galn	gallon
galp	gallop
glvniz	galvanize
!	galvanism
!	galvanization
gambt	gambit
gamb	gamble
gamb^t	gambled
!	gambler
gamut	gamut
ganglen	ganglion
gangren	gangrene
!	gangrenous

# Page 86 Column 2
ganga_	gangway
gap	gap
garash	garage
grb	garb
garbj	garbage
!	garble
ga~dnr	gardener
gagoel	gargoyle
grland	garland
!	garlic
garm	garment
!	garner
grnet	garnet
grnesh	garnish
garnshe	garnishee
!	garnisher
grneshm	garnishment
garnetr	garniture
gars(n	garrison
grlus	garrulous
gar^l	garrulity
ga~te~	garter
gaslen	gasoline
gasp	gasp
gastrk	gastric

# Page 86 Column 3
gas(tron-k	gastronomic
gat	gate
!	gatehouse
!	gatekeeper
!	gatepost
gata_	gateway
gath	gather
gathd	gathered
!	gatherer
gode	gaudy
!	gauge
!	gauger
gontle	gauntlet
goz	gauze
ga	gay
gate	gayety
!	gayly
!	gayness
gasel	gazelle
gas(et	gazette
jelatn	gelatin
!	gelatinize
jelatnoe	gelatinoid
!	gelatinous
jntr	gender

# Page 87 Column 1
jen^o(	genealogy
jen	general
!	generalissimo
jen^l	generality
!	generalization
jenliz	generalize
jene	generally
jen^sh	generalship
jenrt	generate
jenrt-d	generated
jenrts	generates
jenrash	generation
!	generative
jenrtr	generator
prjenetr	progenitor
re~jenrat	regenerate
jenrk	generic
jenrs	generous
jenr^s	generosity
jenss	genesis
jenl	genial
kjenl	congenial
jen^l	geniality
jene|	genially
jenetv	genitive

# Page 87 Column 2
jntel	genteel
jensh	gentian
jntil	Gentile
jntl	gentle
jnt^l	gentility
jnt	gentleman
jnt	gentlemen
jntln	gentleness
jnte	gently
jntre	gentry
jenfl	genuflect
jenflsh	genuflection
jenun	genuine
jenunn	genuineness
jenus	genus
jeod^a	geodetic
j^oe	geography
j^o(	geology
jeom	geometry
