# Page 92 Column 1	
'abe~dashe~	haberdasher
’abe~dashe~e	haberdashery
'abt	habit
'abtb	habitable
'abtn	habitant
'abtat	habitat
'abtsh	habitation
'abtl	habitual
'abteut	habituate
’abteutd	habituated
'abtu	habitude
’abta_	habitue
’akman	hackman
’akned	hackneyed
’akso	hacksaw
'adok	haddock
’agl	haggle
'al-ston	hailstone
'ar	hair
arbredth	hairbreadth
’arbrsh	hairbrush
'a~dreser	hairdresser
’arpen	hairpin
’arspreng	hairspring
	
# Page 92 Column 2	
’albe~d	halberd
'olbt	halibut
'aloen	Halloween
'alusnsh	hallucination
'alusnatre	hallucinatory
'aloj	halogen
'olte~	halter
'ame~	hammer
’amerl	hammerless
'amok	hammock
'ampr	hamper
’ampr^t	hampered
un’ampr^t	unhampered
'nd	hand
’ndbol	handball
'ndbk	handbook
’ndkuf	handcuff
'ndf	handful
'ndekap	handicap
'ndekraft	handicraft
’nde|	handily
’ndenes	handiness
'nderk	handiwork
'ankerch	handkerchief
’ndmad	handmade
	
# Page 92 Column 3	
’ndspreng	handspring
'ndri'	handwriting
lng’nd	longhand
sh^nd	shorthand
'ndl	handle
’ndlbar	handlebar
'an-sm	handsome
'ang	hang
’ange~	hanger
’angman	hangman
'anke~	hanker
'an-sm	hansom
'apaza~d	haphazard
'apl	hapless
'apn	happen
'apnd	happened
'ape	happy
'ape|	happily
'ape~nes	happiness
un'ape	unhappy
'arang	harangue
’aras	harass
'arbnje~	harbinger
'arbr	harbor
'a~d	hard
	
# Page 93 Column 1	
'a~dn	harden
’a~dnd	hardened
’a~dnr	hardener
’a~d-festd	hard-fisted
’a~d’edd	hard-headed
’a~d’a~td	hard-hearted
'a~de^d	hardihood
'a~denes	hardiness
'a~d-nes	hardness
’a~dpan	hardpan
’a~dshel	hard-shell
'a~d^sh	hardship
'a~da~_	hardware
un’a~dnd	unhardened
’arlep	harelip
’arleqe_n	Harlequin
'a~m	harm
’a~mf	harmful
'a~ml	harmless
un'a~m^t	unharmed
'a~mne	harmony
'a~mnek	harmonic
’a~mneka	harmonica
'a~mnus	harmonious
’amnezash	harmonization
	
# Page 93 Column 2	
'a~mniz	harmonize
'a~nes	harness
'arp	harp
’arpes	harpist
’arpun	harpoon
'arp-skod	harpsichord
’arer	harrier
'a~sh	harsh
’a~she~	harsher
!	harshest
!	harshly
’a~shnes	harshness
'a~tsorn	hartshorn
'arves	harvest
'arvest^r	harvester
’arves-s	harvests
'ash	hash
'ask	hassock
'ast	haste
'asn	hasten
’asnd	hastened
'aste|	hastily
'astenes	hastiness
'ach	hatch
’ache~e	hatchery
	
# Page 93 Column 3	
'achet	hatchet
’acha_	hatchway
'at	hate
'atd	hated
'atf	hateful
’atfe	hatefully
’atfnes	hatefulness
'atrd	hatred
'ote	haughty
'ol	haul
’olj	haulage
’old	hauled
'ont	haunt
’ontd	haunted
v	have
'avk	havoc
'ok	hawk
’okr	hawker
’okid	hawk-eyed
’oke_d	hawkweed
'a	hay
'akk	haycock
’aloft	hayloft
’amau	haymow
’arak	hayrack
	
# Page 94 Column 1	
’ased	hayseed
'astak	haystack
'aza~d	hazard
'apaza~d	haphazard
'aza~dus	hazardous
'az	haze
’aze|	hazily
’azenes	haziness
'asl	hazel
’ed	head
'edak	headache
’edband	headband
’edbod	headboard
’edres	headdress
'edd	headed
’ed-fes	headfirst
’edger	headgear
’ede|	headily
’edland	headland
'edl	headless
’edli	headlight
’edlan	headline
’dlng	headlong
’dpes	headpiece
'ed^k	headquarters
	
# Page 94 Column 2	
’edsman	headsman
’ed-ston	headstone
'ed-str	headstrong
’edo_te~	headwater
’eda_	headway
'edrk	headwork
'el	heal
’eld	healed
’elr	healer
'elth	health
'elthf	healthful
’elthfnes	healthfulness
'elthe|	healthily
un’eld	unhealed
un'elthe	unhealthy
'er	hear
'e~d	heard
’err	hearer
'ersa	hearsay
un'e~d	unheard
’arkn	hearken
'ers	hearse
'a~t	heart
d-n’a~td	downhearted
'a~tak	heartache
	
# Page 94 Column 3	
'a~tbet	heartbeat
'a~tbrak	heartbreak
'a~tbrokn	heartbroken
’a~tbe~n	heartburn
'a~tnd	heartened
'a~tfelt	heartfelt
’a~te|	heartily
'a~tl	heartless
’a~trend’	heart-rending
'arth	hearth
’arth-ston	hearthstone
'ete~	heater
'eth	heath
'ethen	heathen
'ethensh	heathenish
'etnen-sm	heathenism
'eth	heather
'evn	heaven
'evne	heavenly
'evn^d	heavenward
'eve	heavy
'ever	heavier
'eve^st	heaviest
'eve|	heavily
'evenes	heaviness
	
# Page 95 Column 1	
'ekatm	hecatomb
'ekl	heckle
'ektek	hectic
'ekt^o	hectograph
'ej	hedge
'ejog	hedgehog
’ejro	hedgerow
’edn-sm	hedonism
'ed	heed
'edd	heeded
’ed-fe	heedfully
’ed-f’nes	heedfulness
'edl	heedless
’edlnes	heedlessness
'ejmne	hegemony
'ejera	hegira
’efr	heifer
'it	height
'itn	heighten
'anus	heinous
ar	heir
ares	heiress
arlum	heirloom
’el^k	helical
’elekoe	helicoid
	
# Page 95 Column 2	
’elex	helix
’el^o	heliograph
'elotrop	heliotrope
'elem	helium
'elp	help
'elpt	helped
'elpr	helper
'elpfe	helpfully
'elpfnes	helpfulness
'elpl	helpless
’elpmat	helpmate
'emati	hematite
’emes)ikl	hemicycle
'emes)fer	hemisphere
'emlok	hemlock
'emorj	hemorrhage
'em-stech	hemstitch
'ens	hence
ensfth	henceforth
'ensfd	henceforward
’eneke_n	henequen
'epteka	hepatica
’eptagn	heptagon
’eptamete~	heptameter
'eptangu	heptangular
	
# Page 95 Column 3	
’erald	herald
’eraldek	heraldic
’eraldre	heraldry
erb	herb
'erbash	herbaceous
erbj	herbage
’erbl	herbal
’erbarm	herbarium
'erbev	herbivorous
'erkeuln	Herculean
'er	here
'erabs	hereabouts
'eraf	hereafter
'e~t	hereat
'erb	hereby
'e~nf	hereinafter
'e~nbf	hereinbefore
'ero	hereof
'e~tu	hereto
'e~tf	heretofore
'e~n-tu	hereunto
'erpon	hereupon
'e~th	herewith
'e~dte	heredity
’e~dt^b	hereditability
	
# Page 96 Column 1	
’e~dtb	hereditable
’e~dtam	hereditament
'e~dtre	hereditary
'e~t^b	heritability
'e~tb	heritable
'e~tj	heritage
en'e~t	inherit
'erse	heresy
'er^a	heretic
’e~m^a	hermetic
'e~met	hermit
'e~metj	hermitage
'ero	hero
'erok	heroic
’ero^k	heroical
'eron	heroine
'ero-sm	heroism
'eron	heron
'er'	herring
'ers	herself
'esta	hesitate
'estns	hesitance
'estnse	hesitancy
'estn	hesitant
'estsh	hesitation
	
# Page 96 Column 2	
un’es)ta’	unhesitating
'etrojenus	heterogeneous
’etrojnete	heterogeneity
'omojenus	homogeneous
'esagn	hexagon
'esag	hexagonal
’esamete~	hexameter
'esangu	hexangular
’esapod	hexapod
'a&etus	hiatus
'ibe~nat	hibernate
'ibe~nsh	hibernation
'ekre	hickory
'id	hide
'edn	hidden
'edus	hideous
'irarke	hierarchy
'ir^a	hieratic
'i	high
'it	height
'itn	heighten
'ibon	highborn
’iboe	highboy
'i'ndd	high-handed
'iland	highland
	
# Page 96 Column 3	
'ilandr	highlander
'a&e	highly
’imin^t	high-minded
'ines	highness
’ipreshu	high-pressure
’irod	highroad
’i^ua	highway
’i^uaman	highwayman
’ik	hike
'ilar	hilarious
'il^r	hilarity
'el	hill
’elenes	hilliness
'elok	hillock
'elsi	hillside
’eltop	hilltop
'elt	hilt
’ems	himself
'endr	hinder
'endrans	hindrance
’enj	hinge
'ent	hint
’entd	hinted
'epdrom	hippodrome
'epptm	hippopotamus
	
# Page 97 Column 1	
'ir	hire
'irl'	hireling
'er-sut	hirsute
s	his
'es	hiss
'est^o(	histology
'estre	history
'estra&'n	historian
'estrk	historic
'estr^k	historical
'estronek	histrionic
'ech	hitch
'eth	hither
'ethtu	hitherto
'iv	hive
'ord	hoard
'ob	hobble
'og	hog
’ogbak	hogback
’ogfesh	hogfish
'ogsh	hoggish
'ogsed	hogshead
'oge_d	hogweed
’oest	hoist
'oleda	holiday
	
# Page 97 Column 2	
'olo	hollow
'ole	holy
’ole|	holily
'olenes	holiness
un’ole	unholy
'omj	homage
'om	home
'oml	homeless
'omla	homelike
'omlenes	homeliness
'om-seknes	homesickness
’omspn	homespun
'om-std	homestead
'om^d	homeward
'omopthe	homeopathy
'omerk	Homeric
'omsi	homicide
