# Page 101 Column 1	
a&embk	iambic
ibex	ibex
ibes	ibis
is	ice
isberg	iceberg
isbn	icebound
is'us	ice house
isman	iceman
is^k	icicle
ise|	icily
ise-nes	iciness
ikr	ichor
ekth^o(	ichthyology
ikn	icon
ikn-klasm	iconoclasm
ikn-klas	iconoclast
ade	idea
ades	ideas
adel	ideal
adelsm	idealism
adeles	idealist
adel^st	idealistic
ade^l	ideality
adelezash	idealization
	
# Page 101 Column 2	
adeliz	idealize
adele	ideally
adnk	identic
adn^k	identical
adn^f	identification
adndf	identify
adnte	identity
unadndf^t	unidentified
edose	idiocy
edot	idiot
ed^a	idiotic
edm	idiom
edm^a	idiomatic
unedm^a	unidiomatic
edo-senk	idiosyncrasy
adl	idle
adld	idled
adlnes	idleness
adlr	idler
ade	idly
adl	idol
adlate~	idolater
adlatre	idolatry
adliz	idolize
adl	idyl
	
# Page 101 Column 3	
adlk	idyllic
egnus	igneous
egni	ignite
egnis	ignites
egnsh	ignition
egnob	ignoble
egnomne	ignominy
egnomn	ignominious
eg	ignorance
eg	ignorant
ege	ignorantly
egnor	ignore
ega_na	iguana
elk	ilk
eleg	illegal
eleg^l	illegality
elejb	illegible
elejtmat	illegitimate
eleber	illiberal
eles(t	illicit
elet	illiterate
eletse	illiteracy
elnes	illness
eloj^k	illogical
elumnat	illuminate
	
# Page 102 Column 1	
elumnant	illuminant
elumnsh	illumination
elumnate~	illuminator
elumn	illumine
elsh	illusion
elusv	illusive
elusre	illusory
elus	illustrate
elus	illustration
elus^v	illustrative
elusr	illustrator
elusus	illustrious
emj	image
emjre	imagery
emaj	imagine
emaj^b	imaginable
emaj^re	imaginary
emaj	imagination
emajtv	imaginative
unemaj^b	unimaginable
mbesel	imbecile
mbes^l	imbecility
mbib	imbibe
mbroleo	imbroglio
mbeu	imbue
	
# Page 102 Column 2	
emeta	imitate
emetb	imitable
emetsh	imitation
emeta^v	imitative
emeta^r	imitator
enemetb	inimitable
emak^u	immaculate
emak^ue	immaculately
emn	immanent
emater	immaterial
ematr	immature
emeshub	immeasurable
eme	immediate
eme	immediately
emenes	immediateness
