# Page 120 Column 1	
kiser	kaiser
klid-skp	kaleidoscope
klid-skpk	kaleidoscopic
kangru	kangaroo
kaolen	kaolin
kp	keep
bkp^r	bookkeeper
'uskp^r	housekeeper
kp^r	keeper
kp^sak	keepsake
kpt	kept
tmkp^r	timekeeper
kenl	kennel
krnl	kernel
ker-sen	kerosene
kerse	kersey
kebod	keyboard
kedv	khedive
ked-nap	kidnap
ked-ne	kidney
kel	kiln
kel^g	kilogram
kelomete~	kilometer
kelt	kilt
	
# Page 120 Column 2	
ki	kind
ki^r	kinder
kist	kindest
ka&enes	kindliness
ka&e	kindly
kines	kindness
kis	kinds
n-ki	unkind
ken-ga~tn	kindergarten
kendred	kindred
kin	kine
ken^a	kinetic
keng	king
kengbe~d	kingbird
kengbolt	kingbolt
kengkraft	kingcraft
kengdm	kingdom
kengfeshe~	kingfisher
kengle	kinglet
kengenes	kingliness
kengpen	king-pin
keng^sh	kingship
kens(man	kinsman
keosk	kiosk
kechn	kitchen
	
# Page 120 Column 3	
keth	kith
ketn	kitten
kleptomna&'k	kleptomaniac
nav	knave
navre	knavery
navsh	knavish
nekap	kneecap
ni	knight
ni^t	knighted
nis	knights
una&e	unknightly
not	knot
notd	knotted
unotd	unknotted
no	know
nu	knew
nob	knowable
no'nes	knowingness
nol	knowledge
non	known
unon	unknown
nukl	knuckle
nerl	knurl
kopk	kopeck
kreptn	krypton
