# Page 121 Column 1	
labl	label
laba&'l	labial
labr	labor
labratre	laboratory
labr^t	labored
labrr	laborer
labrus	laborious
labe~num	laburnum
labrenth	labyrinth
lasera	lacerate
lasera^t	lacerated
laserash	laceration
lakreml	lachrymal
lakremos	lachrymose
lakr	lacquer
lakros	lacrosse
laktek	lactic
lakeuna	lacuna
lakeune	lacunae
lakeunas	lacunas
lade~	ladder
ladn	laden
ladl	ladle
lade	lady
	
# Page 121 Column 2	
ladela	ladylike
lade^sh	ladyship
laga~d	laggard
lagun	lagoon
late	laity
lambent	lambent
lam	lame
lamd	lamed
lame	lamely
lam-nes	lameness
lamnt	lament
lamntb	lamentable
lamntsh	lamentation
lamntd	lamented
lamna	lamina
lamnat	laminate
lamnatd	laminated
lamnsh	lamination
lampun	lampoon
lampre	lamprey
lanset	lancet
lansensh	lancination
land	land
landd	landed
landfo	landfall
	
# Page 121 Column 3	
land'oldr	landholder
landlade	landlady
landlokt	landlocked
landlod	landlord
landmark	landmark
landone~	landowner
landskp	landscape
landslep	landslip
landsman	landsman
land^d	landward
lang	language
lange_d	languid
langsh	languish
lange~	languor
langerus	languorous
lantn	lantern
lanthanum	lanthanum
lana~d	lanyard
lapl	lapel
lapdre	lapidary
laps	lapse
larbod	larboard
lar-sne	larceny
lar-snus	larcenous
larch	larch
	
# Page 122 Column 1	
la~d	lard
laj	large
nlaj	enlarge
laje	largely
laje~	larger
lajes	largest
lara&'t	lariat
lark	lark
larkspur	larkspur
larva	larva
larvl	larval
larenkx	larynx
larenji	laryngitis
lastu	lassitude
laso	lasso
las	last
las^t	lasted
lase	lastly
las-s	lasts
lach	latch
lachke	latchkey
lachstreng	latchstring
lat	late
late	lately
lat-nes	lateness
	
# Page 122 Column 2	
late~	later
lates	latest
late~	latter
latnt	latent
latl	lateral
latle	laterally
lath	lath
lath	lathe
lath	lather
latn	Latin
latn-sm	Latinism
latnes	Latinist
lat^nt	Latinity
latet	latitude
latetudnl	latitudinal
late~	latter
latemo	lattermost
lates	lattice
latesrk	latticework
lod	laud
lod^b	laudability
lodb	laudable
lodsh	laudation
lodtre	laudatory
lodnum	laudanum
	
# Page 122 Column 3	
laf	laugh
lafb	laughable
lafsto	laughingstock
lafte~	laughter
lonch	launch
londr	launder
londres	laundress
londre	laundry
londreman	laundryman
lorel	laurel
lora&'t	laureate
lava	lava
lavler	lavaliere
lavtre	lavatory
lavndr	lavender
lavsh	lavish
lo	law
lof	lawful
loge^r	lawgiver
lol	lawless
lomakr	lawmaker
losut	lawsuit
lor	lawyer
lax	lax
laxtv	laxative
	
# Page 123 Column 1	
laxte	laxity
laxnes	laxness
rlax	relax
lar	layer
laze	lazy
laze|	lazily
laze-nes	laziness
led	lead
ledn	leaden
lede~	leader
lede~^sh	leadership
ledsman	leadsman
leg	league
lek	leak
lekj	leakage
lekenes	leakiness
len	learn
len^t	learned
len-t	learnt
les	lease
lesold	leasehold
lesoldr	leaseholder
lese	lessee
lesor	lessor
les(t	least
	
# Page 123 Column 2	
leth	leather
leth^et	leatheret
lethn	leathern
lethoe	leatheroid
lethuud	leatherwood
lethe	leathery
levn	leaven
lektn	lectern
lektr	lecture
lektrr	lecturer
leje~	ledger
le^d	leeward
le^ua	leeway
lft	left
lft'ndd	left-handed
legse	legacy
leg	legal
eleg	illegal
legsm	legalism
leg^l	legality
legezash	legalization
legiz	legalize
lega|	legally
legat	legate
legate	legatee
	
# Page 123 Column 3	
legash	legation
legato	legato
lejnd	legend
lejndre	legendary
lejdman	legerdemain
leg'	legging
lejb	legible
elejb	illegible
lej^b	legibility
lejn	legion
lejnre	legionary
lj	legislate
lj^sh	legislation
ljv	legislative
lj^r	legislator
ljt	legislature
lejtmat	legitimate
elejtmat	illegitimate
lejtmse	legitimacy
lejtmat-nes	legitimateness
lejtmsh	legitimation
lejmtatiz	legitimatize
lejtmes	legitimist
legeum	legume
legeumnus	leguminous
	
# Page 124 Column 1	
leshu	leisure
leshuenes	leisureliness
leshue	leisurely
