# Page 130 Column 1	
makbr	macabre
m^adm	macadam
? m^admiz	macadamize
makrone	macaroni
makrun	macaroon
masera	macerate
maserash	maceration
machta	machete
machklash	machicolation
maknsh	machination
mashn	machine
mashnre	machinery
mashnes	machinist
makrl	mackerel
makrokosm	macrocosm
mikrokosm	microcosm
makrn	macron
mak^u	maculate
emak^u	immaculate
mad	mad
mad'us	madhouse
mad-man	madman
mad-nes	madness
madm	madam
	
# Page 130 Column 2	
madregl	madrigal
mag	magazine
majnta	magenta
magt	maggot
maji	Magi
majk	magic
majesh	magician
majestra	magistrate
majesterl	magisterial
majestrse	magistracy
majestrl	magistral
majestratr	magistrature
m^n	magnanimous
m^n^mt	magnanimity
m^at	magnate
m^shm	magnesium
m^sha&'	magnesia
m^t	magnet
m^tek	magnetic
m^t^ke	magnetically
m^t-sm	magnetism
m^tezash	magnetization
m^tiz	magnetize
m^to	magneto
m^f	magnificent
	
# Page 130 Column 3	
m^fns	magnificence
m^feko	magnifico
m^f	magnify
m^f	magnification
m^fr	magnifier
m^lok	magniloquent
m^tu	magnitude
m^la&'	magnolia
magpi	magpie
maraja	maharaja
m'ogne	mahogany
mad	maid
madn	maiden
madn'ar	maidenhair
madn^d	maidenhood
madne	maidenly
ma~	mail
ma~^b	mailable
ma~^t	mailed
ma~^r	mailer
n-ma^b	unmailable
mam	maim
mamd	maimed
man	main
manland	mainland
	
# Page 131 Column 1	
mane	mainly
man-mas(t	mainmast
mansal	mainsail
manspreng	mainspring
mansta	mainstay
mntn	maintain
mntnb	maintainable
mntnd	maintained
mntnans	maintenance
majeste	majesty
maj^st	majestic
majoleka	majolica
maje~	major
maj^r	majority
mak	make
makbe	make-believe
makr	maker
maksheft	makeshift
makup	make-up
n-mak	unmake
malajusm	maladjustment
malamnessh	maladministration
maladroe	maladroit
malade	malady
malpe~t	malapert
	
# Page 131 Column 2	
malaprpo	malapropos
malara&'	malaria
malarl	malarial
malasemelash	malassimilation
malktnt	malcontent
ma~	male
fema~	female
maledeksh	malediction
maledekre	maledictory
malfakr	malefactor
malfesnt	maleficent
malev	malevolent
malfesns	malfeasance
malfmsh	malformation
males	malice
malesh	malicious
malin	malign
malegnse	malignancy
malegn	malignant
maleg^nt	malignity
maline	malignly
malenge~	malinger
malenge~^r	malingerer
malb	malleable
mal^b	malleability
	
# Page 131 Column 3	
malnutresh	malnutrition
maloderus	malodorous
malprkt	malpractice
molt	malt
moltes	Maltese
maltret	maltreat
malvessh	malversation
mmoth	mammoth
man	man
man'ol	manhole
mn^d	manhood
man-ki	mankind
mane	manly
manslote~	manslaughter
mn	men
n-mand	unmanned
mn^k	manacle
mnj	manage
mnj^b	manageability
mnjb	manageable
mnjm	management
mnje~	manager
mnjerl	managerial
mnjera|	managerially
mnje~^sh	managership
	
# Page 132 Column 1	
n-mnjb	unmanageable
mnate	manatee
mndamus	mandamus
mndaren	mandarin
mndt	mandate
mndtre	mandatory
mndb	mandible
mndolen	mandolin
mnuvr	maneuver
manganes	manganese
mnje~	manger
mnje	mangy
mana&'	mania
mana&'k	maniac
man^k	maniacal
mnekr	manicure
mnekres	manicurist
mnfes	manifest
mnfessh	manifestation
mnfese	manifestly
mnfeso	manifesto
mnfold	manifold
mnfoldr	manifolder
mneken	manikin
mnep^u	manipulate
	
# Page 132 Column 2	
mne~	manner
mner-sm	mannerism
mnerl	mannerless
mne~e	mannerly
n-mne~e	unmannerly
mne~	manor
mnorl	manorial
mnsh	mansion
mntlpes	mantelpiece
mnl	manual
mnle	manually
mnf	manufacture
mnfaktre	manufactory
mnfr	manufacturer
mnumsh	manumission
mnr	manure
mnuskr	manuscript
mne	many
mapl	maple
maraskeno	maraschino
marod	maraud
marode~	marauder
marb	marble
mach	march
mache~	marcher
	
# Page 132 Column 3	
markne^g	marconigram
ma~	mare
majn	margin
majnl	marginal
majnla&'	marginalia
majna|	marginally
margrav	margrave
maregold	marigold
maren	marine
marene~	mariner
smaren	submarine
ut-maren	ultramarine
marenet	marionette
maretl	marital
maretm	maritime
mark	mark
markt	marked
markde	markedly
markr	marker
marksman	marksman
n-markt	unmarked
mr	market
mr^b	marketability
mrb	marketable
ma~mlad	marmalade
	
# Page 133 Column 1	
