# Page 143 Column 1	
nakr	nacre
nakrus	nacreous
nan-suk	nainsook
niv	naive
nivta	naivete
na	name
msna^t	misnamed
na^b	namable
na-l	nameless
nae	namely
na-s	names
na-sak	namesake
nekna	nickname
se~na	surname
una^t	unnamed
napre	napery
napken	napkin
napolen	Napoleon
napolenek	Napoleonic
narssus	narcissus
nark^a	narcotic
narkss	narcosis
narkt-sm	narcotism
narktiz	narcotize
	
# Page 143 Column 2	
nara	narrate
narash	narration
nara^v	narrative
nara^r	narrator
naro	narrow
narod	narrowed
naror	narrower
narost	narrowest
naroe	narrowly
naromin^t	narrow-minded
narones	narrowness
nara_l	narwhal
nasl	nasal
nas^l	nasality
nasliz	nasalize
nasa|	nasally
nasnt	nascent
naste	nasty
naster	nastier
naste^st	nastiest
naste|	nastily
nastenes	nastiness
natsh	natation
nash	nation
n^nashl	international
	
# Page 143 Column 3	
nashl	national
nashl-sm	nationalism
nashl^st	nationalistic
nash^l	nationality
nashlezash	nationalization
nashliz	nationalize
nasha|	nationally
natv	native
natvte	nativity
natr	nature
natrl	natural
natrl-sm	naturalism
natrles	naturalist
natrl^st	naturalistic
natrlezash	naturalization
natrliz	naturalize
natra|	naturally
natrlnes	naturalness
pretnatrl	preternatural
s^natrl	supernatural
unatrl	unnatural
note	naughty
note^st	naughtiest
note|	naughtily
notenes	naughtiness
	
# Page 144 Column 1	
nosha&'	nausea
nosha&'t	nauseate
noshus	nauseous
not^k	nautical
aronotek	aeronautic
notlus	nautilus
navg	navigate
s(^navg	circumnavigate
navg^b	navigability
navgb	navigable
navgsh	navigation
navg^r	navigator
nave	navy
nav	naval
ne~	near
ne~^r	nearer
ne~^st	nearest
ne~e	nearly
ne~nes	nearness
nersitd	nearsighted
net	neat
nete~	neater
netes	neatest
nete	neatly
net-nes	neatness
	
# Page 144 Column 2	
nebla	nebula
nebul^s	nebulosity
neblus	nebulous
ness	necessary
nesss	necessaries
nesse	necessarily
nessta	necessitate
nesstus	necessitous
nesst	necessity
uness	unnecessary
nek	neck
nekband	neckband
nekkloth	neckcloth
nekrch	neckerchief
neklas	necklace
nekti	necktie
neka_r	neckwear
nekr^o(	necrology
nekrp	necropolis
nekromnse	necromancy
nekta~	nectar
ned	need
nedd	needed
ned-f	needful
ned-fe	needfully
	
# Page 144 Column 3	
nedenes	neediness
nedl	needless
nefar	nefarious
negtv	negative
negsh	negation
neg	neglect
neg^f	neglectful
negj	negligence
negjnt	negligent
negjb	negligible
negosh	negotiate
negosh^b	negotiability
negoshb	negotiable
negosh	negotiation
negosh^r	negotiator
nabr	neighbor
nabr^d	neighborhood
nabre	neighborly
neth	neither
nemss	Nemesis
neoleth	neolithic
neon	neon
neofit	neophyte
nepnthe	nepenthe
nefeu	nephew
	
# Page 145 Column 1	
nept-sm	nepotism
nev	nerve
nevl	nerveless
nevus	nervous
unevd	unnerved
nesht	nescient
nesl	nestle
neth	nether
netrk	network
nurl	neural
nurlja&'	neuralgia
nuras(thena&'	neurasthenia
nurss	neurosis
nur^a	neurotic
nute~	neuter
nutrl	neutral
nutr^l	neutrality
nutrlezash	neutralization
nutrliz	neutralize
nutra|	neutrally
nv	never
nvm	nevermore
nvl	nevertheless
nu	new
nukme~	newcomer
	
# Page 145 Column 2	
nur	newer
nust	newest
nue	newly
nunes	newness
nusm-nge~	newsmonger
nsp	newspaper
renu^b	renewable
nurs	New Year's
nes	next
neb	nibble
nis	nice
nise	nicely
nisnes	niceness
niser	nicer
nises	nicest
niste	nicety
nekl	nickel
neklef	nickeliferous
neklodn	nickelodeon
nekna	nickname
nektn	nicotine
nega~d	niggard
ni	night
nidres	nightdress
nifo	nightfall
	
# Page 145 Column 3	
nign	nightgown
nin-gal	nightingale
nie	nightly
nima~	nightmare
nis	nights
nitm	nighttime
nil-sm	nihilism
niles	nihilist
nil^st	nihilistic
nemb	nimble
nembus	nimbus
nite~	niter
nitra	nitrate
nitrk	nitric
nitr^f	nitrification
nitrf	nitrify
nitroj	nitrogen
nitrojus	nitrogenous
nitrogles	nitroglycerin
nitrus	nitrous
nob	noble
egnob	ignoble
no^b	nobility
nobman	nobleman
nob^r	nobler
	
# Page 146 Column 1	
nob^st	noblest
nobo	nobody
noktn	nocturne
noktnl	nocturnal
noes	noise
noesl	noiseless
noese|	noisily
noese-nes	noisiness
noe-sm	noisome
nomad	nomad
nomadek	nomadic
nomnk	nomenclature
msnome~	misnomer
nomnl	nominal
nomna|	nominally
nomnat	nominate
dnomnat	denominate
nomnsh	nomination
nomne	nominee
nonjenra&'n	nonagenarian
nonagn	nonagon
nonaprns	non-appearance
nonshalant	nonchalant
nonshalans	nonchalance
non-kbatn	non-combatant
	
# Page 146 Column 2	
non-kmshd	non-commissioned
non-kmetl	noncommittal
non-kmu^nt	non-communicant
non-kdukr	non-conductor
non-kf^mt	non-conformity
non-kfmes	non-conformist
nondskr	nondescript
nun	none
non-ntete	nonentity
nunsch	nonesuch
non-ess(	non-existence
non-metkl	non-metallic
nonprel	nonpareil
nonptesp'	non-participating
nonpam	non-payment
nonplus	nonplus
nonrs-edn	non-resident
nonrss^nt	non-resistant
non-sens	nonsense
non-sens^k	nonsensical
non-s-skr^r	non-subscriber
non-sut	non-suit
noneun	non-union
nun	noon
nun-da	noonday
	
# Page 146 Column 3	
nun-tid	noontide
nun-tm	noontime
nom	norm
abnoml	abnormal
noml	normal
nomlse	normalcy
nom^l	normality
noma|	normally
snoml	subnormal
nomn	Norman
noth	north
nes	northeast
nesr	northeaster
nesre	northeasterly
nestn	northeastern
nes^d	northeastward
nothe	northerly
nothen	northern
nothene~	northerner
nothen-mo	northernmost
nothland	northland
n-u	northwest
n-ure	northwesterly
n-utn	northwestern
nos	nose
	
# Page 147 Column 1	
nosband	noseband
nosbled	nosebleed
nosga	nosegay
nostrel	nostril
nostrm	nostrum
n	not
not	note
anota	annotate
knot	connote
dnot	denote
not^b	notability
notb	notable
notarl	notarial
notre	notary
notsh	notation
notbk	notebook
notd	noted
notthe	noteworthy
n'	nothing
n'nes	nothingness
notes	notice
notesb	noticeable
nodf	notify
not^f	notification
nosh	notion
	
# Page 147 Column 2	
notrus	notorious
notri	notoriety
neths	notwithstanding
n-n	noun
prn-n	pronoun
nursh	nourish
nurshm	nourishment
nov	novel
novet	novelette
nov^st	novelist
noviz	novelize
novte	novelty
noves	novice
novesha&'t	novitiate
nau	now
naudas	nowadays
noar	nowhere
nokshus	noxious
enokshus	innoxious
obnokshus	obnoxious
nozl	nozzle
nukla&'t	nucleate
nukla&'r	nuclear
nukla&'sh	nucleation
nuklus	nucleus
	
# Page 147 Column 3	
neud	nude
neudte	nudity
nj	nudge
nugatre	nugatory
nuget	nugget
nusns	nuisance
nul	null
nul^f	nullification
nulf	nullify
n^l	nullity
num	numb
num-nes	numbness
num	number
numl	numberless
neumrl	numeral
eneum	enumerate
eneumb	innumerable
neumra	numerate
neumrash	numeration
neumra^r	numerator
neum^k	numerical
neum	numerous
numesm^as	numismatics
nunsho	nuncio
nunre	nunnery
	
# Page 148 Column 1	
nupsh	nuptial
ners	nurse
nerst	nursed
nersmad	nursemaid
	
# Page 148 Column 2	
nersere	nursery
nereseman	nurseryman
ne~tr	nurture
nut-meg	nutmeg
	
# Page 148 Column 3	
nutrem	nutriment
nutresh	nutrition
nutreshus	nutritious
nutretv	nutritive
