# Page 149 Column 1	
ot	oat
otn	oaten
ot-mel	oatmeal
oth	oath
oblegato	obbligato
obdra	obdurate
obdrse	obduracy
obdnt	obedient
dsobdnt	disobedient
obdns	obedience
obasns	obeisance
oblesk	obelisk
obes	obese
ob^s	obesity
oba	obey
dsoba	disobey
obtre	obituary
ob	object
obf	objectify
obsh	objection
obshb	objectionable
ob^v	objective
ob^vte	objectivity
ob^r	objector
	
# Page 149 Column 2	
nobshb	unobjectionable
objug	objurgate
oblash	oblation
obl	oblige
dsobl	disoblige
obleg	obligate
oblsh	obligation
obleg^re	obligatory
oblek	oblique
obleke_te	obliquity
oblet	obliterate
obletsh	obliteration
t^let	transliterate
oblevn	oblivion
oblev	oblivious
oblng	oblong
obloke	obloquy
obnokshus	obnoxious
obo	oboe
ob-sen	obscene
obs^nt	obscenity
ob-skr	obscure
ob-skrnes	obscureness
ob-sk^r	obscurity
ob-sek	obsequious
	
# Page 149 Column 3	
obseke	obsequy
obse	observe
obseb	observable
obse^ns	observance
obse^nt	observant
obsesh	observation
obse^re	observatory
obse^r	observer
unobse^nt	unobservant
obss	obsess
obsst	obsessed
obsesh	obsession
ob-sedn	obsidian
obsolet	obsolete
obsoles(ns	obsolescence
obsolesnt	obsolescent
obsolete	obsoletely
obsolet-nes	obsoleteness
obs^k	obstacle
ob-stnat	obstinate
ob-stnse	obstinacy
ob-stnate	obstinately
ob-strep	obstreperous
obsk	obstruct
obsksh	obstruction
	
# Page 150 Column 1	
obskshes	obstructionist
obskv	obstructive
obskr	obstructor
unobskt	unobstructed
obtn	obtain
obtnb	obtainable
obtnd	obtained
unobtnb	unobtainable
obtrud	obtrude
obtrude~	obtruder
obtrsh	obtrusion
obtrusv	obtrusive
unobtrusv	unobtrusive
obtus	obtuse
obves	obverse
obva&'t	obviate
obva&'sh	obviation
obv	obvious
kash	occasion
kashl	occasional
kashe|	occasionally
kashd	occasioned
oksedn	occident
oksednl	occidental
oksept	occiput
	
# Page 150 Column 2	
oklud	occlude
oklsh	occlusion
oklt	occult
okltsh	occultation
olkt-sm	occultism
okp	occupy
okpse	occupancy
okpnt	occupant
okp	occupation
okp^l	occupational
preokp^t	preoccupied
unokp^t	unoccupied
okr	occur
okrens	occurrence
osh	ocean
oshk	oceanic
osh^oe	oceanography
okr	ocher
oklokse	ochlocracy
oktv	octave
oktagn	octagon
oktag	octagonal
oktamete~	octameter
oktangu	octangular
oktvo	octavo
	
# Page 150 Column 3	
oktpus	octopus
oklr	ocular
okles	oculist
od	odd
odte	oddity
od-nes	oddness
odm	odium
odus	odious
odomete~	odometer
ode~	odor
doderiz	deodorize
maloderus	malodorous
oderef	odoriferous
oderl	odorless
oderus	odorous
o	of
of	off
ofl	offal
ofkast	offcast
ofkul	off-color
ofnd	offend
enofensv	inoffensive
ofndr	offender
ofens	offense
ofensv	offensive
	
# Page 151 Column 1	
of	offer
os	office
os^oldr	officeholder
osr	officer
oss	offices
oshl	official
osha|	officially
osha&'t	officiate
osha&'sh	officiation
oshus	officious
ofn	often
ofne~	oftener
ofn-tms	oftentimes
om	ohm
