# Page 156 Column 1	
pablm	pabulum
pasmakr	pacemaker
pakdem	pachyderm
pasf	pacify
pask	pacific
paske	pacifically
pas^f	pacification
pasfr	pacifier
pasfsm	pacifism
pasfes	pacifist
pak	pack
pakj	package
pakr	packer
paket	packet
pak	pact
pad	pad
padl	paddle
padok	paddock
padlok	padlock
pagn	pagan
paj	page
pajnsh	pagination
pajnt	pageant
pajntre	pageantry
	
# Page 156 Column 2	
pd	paid
o^pd	overpaid
rpd	repaid
npd	unpaid
pan	pain
panf	painful
panl	painless
panstak'	painstaking
pant	paint
pantd	painted
pantr	painter
pajma	pajama
palas	palace
palash	palatial
palanken	palanquin
palat	palate
palatb	palatable
pal^oe	paleography
palont^o(	paleontology
palet	palette
palfre	palfrey
palempss	palimpsest
palendrom	palindrome
palsad	palisade
pol	pall
	
# Page 156 Column 3	
paladm	palladium
pala&'t	palliate
pala&'sh	palliation
pala&'tv	palliative
palm	pallium
palr	pallor
palmeto	palmetto
pames	palmist
pamesre	palmistry
palpat	palpate
palp^b	palpability
palpb	palpable
palpash	palpation
palpta	palpitate
polse	palsy
polse^t	palsied
poltre	paltry
pampas	pampas
pamf	pamphlet
pansa&'	panacea
pankrom^a	panchromatic
akrom^a	achromatic
othokrom^a	orthochromatic
pan-kra&'s	pancreas
pan-kr^a	pancreatic
	
# Page 157 Column 1	
pandemn	pandemonium
panjerk	panegyric
panjer^k	panegyrical
panjeres	panegyrist
panjeriz	panegyrize
panl	panel
pang	pang
panek	panic
pane~	pannier
panple	panoply
panrama	panorama
panramek	panoramic
panse	pansy
pant	pant
pantlun	pantaloon
panthen	pantheon
panth	panther
pant^o	pantograph
pantomm	pantomime
pantre	pantry
papse	papacy
papl	papal
papr	paper
nsp	newspaper
papus	papoose
	
# Page 157 Column 2	
papreka	paprika
par	par
p^r	parity
p^b	parable
p^bola	parabola
p^bolk	parabolic
p^bol	parabolical
p^shut	parachute
parad	parade
p^dm	paradigm
p^dis	paradise
p^dox	paradox
p^dox^k	paradoxical
p^fen	paraffin
p^gn	paragon
p^g	paragraph
p^lax	parallax
p^l	parallel
p^l^g	parallelogram
np^l^t	unparalleled
p^liz	paralyze
p^lss	paralysis
p^l^a	paralytic
p^liss	paralyzes
p^mnt	paramount
	
# Page 157 Column 3	
p^noa&'	paranoia
p^noa&'k	paranoiac
p^pt	parapet
p^fer	paraphernalia
p^fras	paraphrase
p^sit	parasite
p^s^a	parasitic
prsel	parcel
parchm	parchment
pa~dn	pardon
pa~dnb	pardonable
