# Page 181 Column 1
rabi	rabbi
rabt	rabbit
rab	rabble
rabd	rabid
!	rabies
!	raccoon
ras	race
!	raced
raser	racer
!	racial
!	racially
!	racily
!	raciness
rakt	racket
!	raconteur
rada&'t	radiate
radens	radiance
!	radiancy
rad-nt	radiant
!	radiated
rada&'sh	radiation
rada&'te~	radiator
rad^k	radical
eradek	eradicate

# Page 181 Column 2
rad^ksm	radicalism
!	radically
radeo	radio
!	radioactive
!	radiogram
!	radiophone
!	radiotelegraphy
!	radiotelephone
radsh	radish
radm	radium
radus	radius
!	radial
!	radially
!	radii
!	radiuses
rafl	raffle
raft	raft
!	ragamuffin
!	raglan
!	ragout
rad	raid
ral	rail
!	railhead
ralre	raillery
rr	railroad

# Page 181 Column 3
rl	railway
ramn-t	raiment
ran	rain
ranbo	rainbow
!	raindrop
rant	rained
!	rainfall
!	rainier
!	rainiest
rasn	raisin
ramb	ramble
!	rambler
ramf	ramify
ram^f	ramification
!	ramp
rampj	rampage
rampnt	rampant
rampt	rampart
ranch	ranch
!	rancher
!	ranchero
ranchmn	ranchman
!	rancho
ransd	rancid
!	rancidly

# Page 182 Column 1
rankr	rancor
rankrus	rancorous
randm	random
rank	rank
rankl	rankle
ran-sak	ransack
ran-sm	ransom
rap^s)	rapacity
rapash	rapacious
rapd	rapid
rapdte	rapidity
rapde	rapidly
raper	rapier
!	rapport
raptr	rapture
raptrus	rapturous
rar	rare
!	rarefaction
raref	rarefy
rare	rarely
rarn	rareness
!	rarer
!	rarest
r^r	rarity
raskl	rascal

# Page 182 Column 2
rask^l	rascality
!	rascally
rash	rash
!	rasher
!	rashest
!	rashly
rashn	rashness
!	raspberry
rat	rate
rat-d	rated
rath	rather
radf	ratify
rat^f	ratification
rasho	ratio
!	ratiocination
rash	ration
rashl	rational
erashl	irrational
rashlsm	rationalism
!	rationalist
!	rationalistic
!	rationalization
rashlis	rationalize
rashle	rationally
ratn	rattan

# Page 182 Column 3
ratl	rattle
!	rattler
!	rattlesnake
!	rattly
rokus	raucous
ravj	ravage
ravl	ravel
ravn	raven
ravnus	ravenous
raven	ravine
ravesh	ravish
ro	raw
!	rawboned
!	rawhide
!	rawness
ra	ray
!	rayless
ra&'k	react
ra&'ksh	reaction
ra&'kshre	reactionary
renak	reenact
red	read
rd^b	readability
rdb	readable
re~de~	reader

# Page 183 Column 1
!	readjust
!	readjustment
!	readmission
rede	ready
reda|	readily
reden	readiness
!	reaffirm
!	reagent
re	real
re^sm	realism
re^st	realist
re^st	realistic
re^l	reality
!	realizable
relisash	realization
relis	realize
re|	really
relte	realty
!	unreal
ra&'nemat	reanimate
ra&'pr	reappear
!	reappearance
roe	reappoint
!	reargue
ra&'ra	rearrange

# Page 183 Column 2
rs(n	reason
rs(nb	reasonable
rs(n-d	reasoned
nrs	unreasonable
!	reassemble
!	reassert
!	reassume
ra&'shu	reassure
rbat	rebate
rbel	rebel
rbeln	rebellion
rbelus	rebellious
!	rebind
rbe~th	rebirth
!	reborn
rbn	rebound
rbuf	rebuff
rbld	rebuild
rbus	rebus
rbt	rebut
rbtl	rebuttal
!	rebutter
!	recalcitrant
reko	recall
rekant	recant

# Page 183 Column 3
rekap^u	recapitulate
rekaptr	recapture
rekas	recast
r-sed	recede
rsesh	recession
rese	receipt
rs(ev	receive
rse^b	receivability
rseb	receivable
rser	receiver
rsersh	receivership
rs(es	receives
rs	recent
rsepsh	reception
rsep^k	receptacle
rseptv	receptive
rsep^v	receptivity
rsp-nt	recipient
rss	recess
rsesh	recession
rseshl	recessional
!	recessive
rchj	recharge
rchjd	recharged
resepe	recipe

# Page 184 Column 1
rsepr	reciprocate
rsep^k	reciprocal
!	reciprocation
!	reciprocative
