# Page 197 Column 1
sab'	Sabbath
sab^a	sabbatical
sab	sable
!	saccharin
ssdotl	sacerdotal
sachm	sachem
sasha	sachet
sakram	sacrament
sakra^m	sacramental
s(akred	sacred
s(akref	sacrifice
s(akrefesh	sacrificial
sakrelej	sacrilege
sakrelejus	sacrilegious
!	sacristy
!	sacristan
!	sacrosanct
s(ad	sad
sadn	sadden
sad-n	sadness
s(af	safe
!	safe-conduct
safga~d	safeguard
!	safe-keeping

# Page 197 Column 2
s(afe	safely
!	safeness
s(afte	safety
!	unsafe
safrn	saffron
sag^s)	sagacity
sagash	sagacious
!	sahib
sant	saint
!	sainted
santen	saintliness
!	saintly
salad	salad
salamn	salamander
salre	salary
!	salaried
sal	sale
!	resale
!	salability
!	salable
sas(man	salesman
'olsa	wholesale
salent	salient
!	salience
salin	saline

# Page 197 Column 3
saliva	saliva
!	salivate
salevash	salivation
samn	salmon
!	salon
!	saloon
s(olt	salt
!	saltcellar
!	salted
!	saltpeter
!	salty
salub	salubrious
salut	salute
salutre	salutary
salutsh	salutation
!	salutatorian
!	salutatory
salvj	salvage
salvash	salvation
s(av	salve
s(am	same
s(am-nes	sameness
samovar	samovar
s(amp	sample
es(amp	example

# Page 198 Column 1
es(emp^r	exemplar
!	sampler
sanatore	sanatory
!	sanatorium
s(angdf	sanctify
s(angt^f	sanctification
sanktmus	sanctimonious
sanksh	sanction
!	sanctitude
sankte	sanctity
sanktre	sanctuary
sanktm	sanctum
s(ant	sand
sandl	sandal
s(an	sane
ns(an	insane
s^nt^	sanity
sange_n	sanguine
ks(ang^nt	consanguinity
!	sanguinary
s(anetre	sanitary
ns(anetre	insanitary
s^ntsh^	sanitation
sapent	sapient
!	saponify

# Page 198 Column 2
safir	sapphire
!	saraband
sarkas	sarcasm
sark^st	sarcastic
!	sarcoma
sarkof	sarcophagus
!	sarcophagi
s(aden	sardine
s(adonek	sardonic
!	sardonyx
!	sarsaparilla
!	sartorial
ssfras	sassafras
!	satanic
sachl	satchel
sasha&'t	satiate
nsashb	insatiable
!	satiable
!	satiation
satite	satiety
s(atn	satin
sati~	satire
!	satiric
