# Page 226 Column 1
!	tabard
!	tabasco
tabe~n	tabernacle
tab	table
tablo	tableau
!	tablecloth
!	tablespoon
tablet	tablet
!	tableware
!	tabloid
tabu	taboo
tabret	taboret
tab^u	tabulate
tablr	tabular
tablris	tabularize
!	tachometer
tast	tacit
tasten	taciturn
taste~^nt	taciturnity
takl	tackle
takt	tact
!	tactful
taktl	tactile
takt^l	tactility

# Page 226 Column 2
taktl	tactless
takks	tactics
takkl	tactical
!	tactician
tafta	taffeta
talr	tailor
tant	taint
tantd	tainted
ta	take
o^t	overtake
!	takedown
takn	taken
!	take-off
tuk	took
u^tak	undertake
talent	talent
!	talented
talesmn	talisman
tok	talk
toktv	talkative
tokr	talker
tol	tall
!	taller
!	tallest
!	tallness

# Page 226 Column 3
!	tamarack
!	tamarind
tmbren	tambourine
tam	tame
!	tamely
tame~	tamer
!	tamest
!	untamed
tmpr	tamper
tnje~	tanager
tntm	tandem
tang	tang
tnjnt	tangent
!	tangential
tnjeren	tangerine
tnjb	tangible
ntnjb	intangible
!	tangibility
tangl	tangle
dsntang	disentangle
ntang	entangle
tank	tank
!	tankage
!	tankard
!	tanker

# Page 227 Column 1
tane~	tanner
!	tannery
tanek	tannic
tn-tliz	tantalize
tn-tlezsh	tantalization
tntlm	tantalum
tntmnt	tantamount
tapr	taper
tapes	tapestry
tapka	tapioca
!	tapir
!	tappet
!	tarantula
!	tarantella
!	tardy
!	tardier
!	tardiest
ta~de|	tardily
target	target
tarf	tariff
!	tarlatan
tansh	tarnish
!	untarnished
tarpolen	tarpaulin
!	tarpon

# Page 227 Column 2
ta~t	tart
!	tartan
ta~ta~	tartar
!	tartaric
tas(k	task
tasel	tassel
!	tasseled
tas(t	taste
!	tasted
!	tasteful
tastl	tasteless
!	taster
!	tastily
!	tastiness
taste	tasty
!	tatter
!	tattered
!	tatters
!	tattle
tatu	tattoo
!	tattooed
tont	taunt
!	taunted
tot	taut
!	tautness

# Page 227 Column 3
tot^o	tautology
tave~n	tavern
todre	tawdry
tone	tawny
tax	tax
taxb	taxable
taxsh	taxation
!	taxed
taxs	taxes
!	taxi
taxkab	taxicab
!	taximeter
taxdeme	taxidermy
taxdemes	taxidermist
tech	teach
tot	taught
!	teachability
tchb	teachable
te~che~	teacher
tem	team
temste~	teamster
temrk	teamwork
te~	tear
terf	tearful
terl	tearless

# Page 228 Column 1
te~|	tears
te~	tear
tor	tore
torn	torn
tes	tease
!	teased
tespn	teaspoon
tespnf	teaspoonful
!	technic
tekn-k	technical
tekn^l	technicality
teknsh	technician
teknek	technique
tekn^o	technology
tedm	tedium
tedus	tedious
!	telautograph
tel^e	telegraph
tel^g	telegram
tel^er	telegrapher
tel^ek	telegraphic
!	telegraphical
tel^e|	telegraphy
telpthe	telepathy
!	telepathic

# Page 228 Column 2
telf	telephone
!	telephonic
!	telephonically
!	telephony
telskp	telescope
telskpk	telescopic
!	telescopical
te	tell
!	telltale
!	told
!	tellurium
tmblr	temblor
tm^r	temerity
!	temerarious
tmpr	temper
tmpram	temperament
tmpr^m	temperamental
tmpr^me	temperamentally
tmp	temperance
ntmp	intemperance
tmpra	temperate
!	temperately
!	temperateness
tmpratr	temperature
tmpes	tempest

# Page 228 Column 3
tmpestus	tempestuous
tmpla	template
tmpl	temple
!	templed
!	tempo
tmprl	temporal
tmpr^l	temporality
tmprre	temporary
tmprre|	temporarily
tmprisash	temporization
tmpris	temporize
tmpriser	temporizer
tmt	tempt
tmtsh	temptation
tmtd	tempted
tmte~	tempter
!	temptress
tnb	tenable
ntnb	untenable
tn^s)	tenacity
pe~tnash	pertinacious
pe~tn^s)	pertinacity
tnash	tenacious
tnnt	tenant
tnanse	tenancy

# Page 229 Column 1
!	tenantable
!	tenanted
tnntl	tenantless
!	tenantry
!	untenanted
tnd	tend
!	tended
tntnse	tendency
tnde~	tender
!	tendered
!	tenderer
!	tenderest
!	tenderfoot
!	tenderloin
tn-de~e	tenderly
tn-de~^n	tenderness
tntn	tendon
!	tendril
tnbrus	tenebrous
tnem	tenement
tnet	tenet
tnes	tennis
!	tenon
tnor	tenor
tns	tense

# Page 229 Column 2
!	tenser
!	tensest
tnsel	tensile
tnsh	tension
!	tensional
tn^s	tensity
tn-t	tent
tn-t^k	tentacle
tntadf	tentative
tneute	tenuity
!	attenuated
tnuus	tenuous
!	tepee
tepd	tepid
!	tercentenary
tem	term
!	termed
!	terminable
tmnl	terminal
tmnle	terminally
