# Page 240 Column 1	
eubke_te	ubiquity
eubke_tus	ubiquitous
uge	ugly
ugenes	ugliness
eukas	ukase
euklala	ukulele
user	ulcer
usera	ulcerate
userash	ulceration
usera^v	ulcerative
userus	ulcerous
una	ulna
una~	ulnar
uste~	ulster
uter	ulterior
utmat	ultimate
utmatm	ultimatum
ut	ultimo
ut-maren	ultramarine
utvile	ultra-violet
umbrj	umbrage
umbrela	umbrella
umlaut	umlaut
umpi	umpire
	
# Page 240 Column 2	
nb	unable
en^b	inability
unabrejd	unabridged
unaksentd	unaccented
naks(b	unacceptable
nakpe^t	unaccompanied
naktb	unaccountable
unakus^t	unaccustomed
unajus^t	unadjusted
unadond	unadorned
unadulra^t	unadulterated
unafkt	unaffected
unadd	unaided
unaloed	unalloyed
noterb	unalterable
unam-n	un-American
unamb	unamiable
eunan^mt	unanimity
eunan	unanimous
nansb	unanswerable
unapesb	unappeasable
unaprchb	unapproachable
unaprpra&'td	unappropriated
una~m^t	unarmed
n-skt	unasked
	
# Page 240 Column 3	
unasalb	unassailable
nsstd	unassisted
unas)m'	unassuming
unatcht	unattached
unatnb	unattainable
unatnd	unattained
unatmtd	unattempted
unatndd	unattended
unothent^t	unauthenticated
unothrizd	unauthorized
unavalb	unavailable
nvoe	unavoidable
nar	unaware
nbal^t	unbalanced
nbk'	unbecoming
nbe	unbelief
nbeb	unbelievable
nbend	unbend
nbdn	unbidden
nblemsht	unblemished
nblsh'	unblushing
ubn	unbound
nbrakb	unbreakable
nbsla	unbusinesslike
n-kane	uncanny
	
# Page 241 Column 1	
nse~mnus	unceremonious
n-setn	uncertain
n-setnte	uncertainty
nchalenjd	unchallenged
nchb	unchangeable
ncha~tb	uncharitable
nshl	uncial
n-svizd	uncivilized
n-klamd	unclaimed
n-klaf^t	unclassified
unkl	uncle
n-klen	unclean
n-klend	uncleaned
n-kolb	uncollectible
n-kftb	uncomfortable
n-kmn	uncommon
n-kmu^v	uncommunicative
n-kplemre	uncomplimentary
n-kprmis'	uncompromising
n-ks(e~n^t	unconcerned
n-kdshl	unconditional
n-kkrb	unconquerable
n-kshnb	unconscionable
n-kshus	unconscious
n-ks^t	unconsidered
	
# Page 241 Column 2	
n-kstshl	unconstitutional
n-k^dekt	uncontradicted
n-k^lb	uncontrollable
n-k^ld	uncontrolled
n-kvnshl	unconventional
n-kuth	uncouth
n-kv	uncover
unk	unction
unktuus	unctuous
n-klvatd	uncultivated
n-dmjd	undamaged
n-dontd	undaunted
n-dse	undeceive
n-dsi^t	undecided
n-d-sif^b	undecipherable
n-dfndd	undefended
n-dfild	undefiled
n-dlb	undeliverable
n-dmk	undemocratic
n-dmons^v	undemonstrative
n-dnib	undeniable
u^	under
u^bd	underbid
u^brsh	underbrush
u^chj	undercharge
	
# Page 241 Column 3	
ukrent	undercurrent
u^estmat	underestimate
u^espo	underexpose
u^garm	undergarment
u^g	undergo
u^gradeut	undergraduate
u^grnd	underground
u^groth	undergrowth
u^'ndd	underhanded
u^lan	underline
u^min	undermine
u^mind	undermined
u^neth	underneath
u^produksh	underproduction
u^rat	underrate
u^skor	underscore
u^sel	undersell
u^sizd	undersized
u^slng	underslung
u^stn	understand
ms^stn	misunderstand
ms^stu	misunderstood
u^stde	understudy
u^tak	undertake
u^takr	undertaker
	
# Page 242 Column 1	
u^tuk	undertook
u^vl	undervalue
u^ri	underwrite
u^rir	underwriter
n-d-sevd	undeserved
n-d-sind	undesigned
ne~mn^t	undetermined
n-dvl^t	undeveloped
n-djes^t	undigested
n-degnf^t	undignified
n-demd	undimmed
n-dseplend	undisciplined
n-dsklosd	undisclosed
n-dsgizd	undisguised
n-dsmad	undismayed
n-dspo^t	undisposed
n-dspu^t	undisputed
n-dstb	undistinguishable
n-dstbd	undisturbed
n-dvidd	undivided
