# Page 254 Column 1
uob	wabble
uodl	waddle
uafr	wafer
uofl	waffle
uaft	waft
uaj	wage
uaje	wager
!	Wagnerian
uagn	wagon
uas(t	waist
uakf	wakeful
uok	walk
uokr	walker
!	walkout
uolnut	walnut
uolrus	walrus
uolts	waltz
uompm	wampum
uontr	wander
ont	want
nontt	unwanted
uo	war
uofar	warfare
uola	warlike

# Page 254 Column 2
!	warpath
uo^r	warrior
!	warship
uod	ward
uodn	warden
uodrob	wardrobe
uars	warehouse
uom	warm
!	warmed
uomth	warmth
uon	warn
uon-d	warned
uop	warp
uont	warrant
nuontb	unwarrantable
uontd	warranted
!	warrantor
uon-te	warranty
!	warren
uare	wary
nuare	unwary
!	was
uosh	wash
!	unwashed
!	washable

# Page 254 Column 3
uoshr	washer
uoshau	washout
uoshstn	washstand
uosp	wasp
uosel	wassail
uas(t	waste
!	wastage
!	wastebasket
uas(tf	wasteful
!	wastrel
uoch	watch
!	watchcase
uochdog	watchdog
uochf	watchful
!	watchmaker
uochmn	watchman
!	watch tower
uochud	watchword
uote~	water
!	watercourse
uote~fo	waterfall
!	waterfowl
!	water-logged
uotemrk	watermark
uotemeln	watermelon

# Page 255 Column 1
!	watershed
!	water-tight
!	waterway
!	waterworks
uote~e	watery
uot	watt
!	wattage
uot-mete~	wattmeter
uavr	waver
!	unwavering
uax	wax
!	waxed
!	waxen
!	waxiness
ua	way
uabl	waybill
uafarr	wayfarer
!	wayside
ua^d	wayward
ek	weak
ekn	weaken
eknt	weakened
!	weakling
eke	weakly
eknes	weakness

# Page 255 Column 2
lth	wealth
!	wealthily
uepn	weapon
uere	weary
!	wearily
uersm	wearisome
uesl	weasel
ueth	weather
!	weather-beaten
uethkk	weathercock
!	weatherproof
ueb	web
ek	week
!	weekday
!	week-end
!	weekly
uep	weep
uat	weight
uerd	weird
lkm	welcome
!	unwelcome
l	well
!	unwell
lfar	welfare
!	well-born

# Page 255 Column 3
!	well-favored
uelte~	welter
er	were
ues	west
ure	westerly
ues(tn	western
uestnr	westerner
ues^d	westward
uet	wet
uetn	wetness
'uak	whack
'ual	whale
!	whaleback
'ualbon	whalebone
'uof	wharf
'uofj	wharfage
!	wharfinger
!	wharves
ot	what
s(mot	somewhat
otev	whatever
!	whatnot
ots(ov	whatsoever
'uet	wheat
'uetn	wheaten

# Page 256 Column 1
!	wheatworm
'uel	wheel
en	when
enev	whenever
!	whensoever
'uens	whence
ar	where
arabs	whereabouts
ars	whereas
a~t	whereat
arb	whereby
arf	wherefore
!	wherefrom
a~n	wherein
aro	whereof
aron	whereon
arsov	wheresoever
arpn	whereupon
arev	wherever
areth(	wherewith
areth(o(	wherewithal
ueth	whether
ch	which
chev	whichever
!	whichsoever

# Page 256 Column 2
il	while
!	whilom
ilst	whilst
'uem	whim
'uems^k	whimsical
!	whimsicality
uin	whine
'uep	whip
!	whipcord
!	whippet
!	whipstock
'uerl	whirl
!	whirlpool
'uerle_nd	whirlwind
'uesk	whisk
'ueske	whisky
'uespr	whisper
'uest	whist
'uesl	whistle
'uit	white
'uitkap	whitecap
'uitfesh	whitefish
'uitn	whiten
'uitn	whiteness
!	whitewood

# Page 256 Column 3
'ueth	whither
'uetl	whittle
'u	who
'uv	whoever
'ol	whole
un'ol-sm	unwholesome
!	whole-hearted
'olsa	wholesale
!	wholesaler
'ols(m	wholesome
'ole	wholly
'up	whoop
'us	whose
i	why
ueked	wicked
ueked-n	wickedness
!	wickerwork
ueket	wicket
uid	wide
uid-n	widen
uidn	wideness
!	widespread
uedth	width
uedo	widow
!	widowed

# Page 257 Column 1
uedor	widower
uedo^d	widowhood
ueld	wield
nuelde	unwieldy
if	wife
!	wigwag
uego_m	wigwam
uild	wild
ueldrn	wilderness
!	wildfire
!	wildness
l	will
nl'	unwilling
lf	willful
uelo	willow
!	wily
!	winch
uent	wind
uent	wind
